trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.015713832981418818,0.024156957981176674,1.9973177500069141,3.0253608329803683,space,0.9987308339914307,None,,216794,001,2024-05-05_22h55.16.576,creatingimagesNEW,2024.1.4,None,2024-05-05 22h55.22.517118 -0400,
,,,,,,,3.077600749966223,,,,,,,,,3.043802957981825,,,,,,,,
