triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02097187505569309,0.029965583002194762,1.9978860830306076,3.174712125037331,space,1.1449005419854075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(-0.1875, 0.1875)",g,0.0,0,0,0,7,3.2479493750142865,,,,,,,,,3.217250166053418,9.512558791029733,9.512567583005875,0.0059057080070488155,10.51412300002994,10.51412300002994,10.51412300002994,10.51412300002994,10.51412300002994,10.51412300002994,10.51412300002994,10.51412300002994,13.71698829100933,-0.17592592592592593,0.18055555555555555,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(0, 0.25)",p,0.0,0,1,1,16,13.724814958055504,,,,,,,,,13.717969291028567,27.98714637500234,27.987154541013297,0.0037025409983471036,28.993873958010226,28.993873958010226,28.993873958010226,28.993873958010226,28.993873958010226,28.993873958010226,28.993873958010226,28.993873958010226,29.81720062502427,-0.0023148148148148147,0.2534722222222222,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,2,2,15,29.82480108301388,,,,,,,,,29.817872083047405,32.08629904105328,32.086307333025616,0.0036734999739564955,33.09208612504881,33.09208612504881,33.09208612504881,33.09208612504881,33.09208612504881,33.09208612504881,33.09208612504881,33.09208612504881,34.01704316603718,-0.18055555555555555,0.17939814814814814,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,3,3,11,34.02552550000837,,,,,,,,,34.01775500003714,36.28704491601093,36.28705333301332,0.003737332997843623,37.29287437500898,37.29287437500898,37.29287437500898,37.29287437500898,37.29287437500898,37.29287437500898,37.29287437500898,37.29287437500898,39.017654333030805,0.19328703703703703,-0.18055555555555555,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(-0.25, 0)",p,0.0,0,4,4,22,39.0252109580324,,,,,,,,,39.01836483302759,41.28720916603925,41.287217333039735,0.0036287090042605996,42.292628000024706,42.292628000024706,42.292628000024706,42.292628000024706,42.292628000024706,42.292628000024706,42.292628000024706,42.292628000024706,43.73533758305712,-0.2361111111111111,0.0023148148148148147,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(0.1875, -0.1875)",g,0.0,0,5,5,3,43.742887833039276,,,,,,,,,43.73605091602076,48.00499320804374,48.005002000019886,0.0038128329906612635,49.009730083053,49.009730083053,49.009730083053,49.009730083053,49.009730083053,49.009730083053,49.009730083053,49.009730083053,50.66749812505441,0.19328703703703703,-0.1863425925925926,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(0, 0.25)",g,0.0,0,6,6,0,50.67622362502152,,,,,,,,,50.66816366603598,52.93847058300162,52.93847941601416,0.003865416976623237,53.944551458000205,53.944551458000205,53.944551458000205,53.944551458000205,53.944551458000205,53.944551458000205,53.944551458000205,53.944551458000205,54.95116883300943,0.008101851851851851,0.23958333333333334,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,7,7,10,54.95966191601474,,,,,,,,,54.95184512500418,57.22080004104646,57.22080804104917,0.0037375829997472465,58.22819391603116,58.22819391603116,58.22819391603116,58.22819391603116,58.22819391603116,58.22819391603116,58.22819391603116,58.22819391603116,59.168548625020776,0.23032407407407407,-0.010416666666666666,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
"(0.25, 0)",g,0.0,0,8,8,2,59.17663500003982,,,,,,,,,59.16927187505644,59.43835366604617,59.438367833034135,0.003910917032044381,60.44400225003483,60.44400225003483,60.44400225003483,60.44400225003483,60.44400225003483,60.44400225003483,60.44400225003483,60.44400225003483,62.8848396660178,0.23958333333333334,0.013888888888888888,1,0,0,[1],unnamed Polygon,,,,,,,,825399,001,2024-05-05_23h00.05.024,creatingimagesNEW,2024.1.4,None,2024-05-05 23h00.12.687522 -0400,
