thisRow.t,notes,WelcomePage.started,textWelcomeMessage.started,key_resp.started,WelcomePage.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image1_1.started,greencircle1.started,greencircle2.started,greencircle3.started,greencircle4.started,greencircle5.started,greencircle6.started,greencircle7.started,greentriangle.started,image1_1.stopped,image1_2.started,greencircle1_2.started,greencircle2_2.started,greencircle3_2.started,greencircle4_2.started,greencircle5_2.started,greencircle6_2.started,greencircle7_2.started,greentriangle_2.started,image1_2.stopped,image1_3.started,greencircle1_3.started,greencircle2_3.started,greencircle3_3.started,greencircle4_3.started,greencircle5_3.started,greencircle6_3.started,greencircle7_3.started,greentriangle_3.started,image1_3.stopped,image1_4.started,greencircle1_4.started,greencircle2_4.started,greencircle3_4.started,greencircle4_4.started,greencircle5_4.started,greencircle6_4.started,greencircle7_4.started,greentriangle_4.started,image1_4.stopped,image1_5.started,greencircle1_5.started,greencircle2_5.started,greencircle3_5.started,greencircle4_5.started,greencircle5_5.started,greencircle6_5.started,greencircle7_5.started,greentriangle_5.started,image1_5.stopped,image1_6.started,greencircle1_6.started,greencircle2_6.started,greencircle3_6.started,greencircle4_6.started,greencircle5_6.started,greencircle6_6.started,greencircle7_6.started,greentriangle_6.started,image1_6.stopped,image1_7.started,greencircle1_7.started,greencircle2_7.started,greencircle3_7.started,greencircle4_7.started,greencircle5_7.started,greencircle6_7.started,greencircle7_7.started,greentriangle_7.started,image1_7.stopped,image1_8.started,greencircle1_8.started,greencircle2_8.started,greencircle3_8.started,greencircle4_8.started,greencircle5_8.started,greencircle6_8.started,greencircle7_8.started,greentriangle_8.started,image1_8.stopped,image2_1.started,pink_circle.started,pink_circle.stopped,image2_1.stopped,image2_2.started,image2_2.stopped,image2_3.started,image2_3.stopped,image2_4.started,image2_4.stopped,image2_5.started,image2_5.stopped,image2_6.started,image2_6.stopped,image2_7.started,image2_7.stopped,image2_8.started,image2_8.stopped,image3_1.started,greencircle1_9.started,greencircle2_9.started,greencircle3_9.started,greencircle4_9.started,greencircle5_9.started,greencircle6_9.started,greencircle7_9.started,pinktriangle.started,image3_1.stopped,image3_2.started,greencircle1_10.started,greencircle2_10.started,greencircle3_10.started,greencircle4_10.started,greencircle5_10.started,greencircle6_10.started,greencircle7_10.started,greentriangle_9.started,image3_2.stopped,image3_3.started,greencircle1_11.started,greencircle2_11.started,greencircle3_11.started,greencircle4_11.started,greencircle5_11.started,greencircle6_11.started,greencircle7_11.started,greentriangle_10.started,image3_3.stopped,image3_4.started,greencircle1_12.started,greencircle2_12.started,greencircle3_12.started,greencircle4_12.started,greencircle5_12.started,greencircle6_12.started,greencircle7_12.started,greentriangle_11.started,image3_4.stopped,image3_5.started,greencircle1_13.started,greencircle2_13.started,greencircle3_13.started,greencircle4_13.started,greencircle5_13.started,greencircle6_13.started,greencircle7_13.started,greentriangle_12.started,image3_5.stopped,image3_6.started,greencircle1_14.started,greencircle2_14.started,greencircle3_14.started,greencircle4_14.started,greencircle5_14.started,greencircle6_14.started,greencircle7_14.started,greentriangle_13.started,image3_6.stopped,image3_7.started,greencircle1_15.started,greencircle2_15.started,greencircle3_15.started,greencircle4_15.started,greencircle5_15.started,greencircle6_15.started,greencircle7_15.started,greentriangle_14.started,image3_7.stopped,image3_8.started,greencircle1_16.started,greencircle2_16.started,greencircle3_16.started,greencircle4_16.started,greencircle5_16.started,greencircle6_16.started,greencircle7_16.started,greentriangle_15.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.004177700000582263,0.021882600005483255,0.021882600005483255,0.8102290999959223,space,0.8032228999945801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,0.8102614999806974,0.8218979999946896,0.8218979999946896,0.8218979999946896,0.8218979999946896,0.8218979999946896,0.8218979999946896,0.8218979999946896,0.8218979999946896,1.807040399988182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,1.8070772000064608,1.8220823000010569,1.8220823000010569,1.8220823000010569,1.8220823000010569,1.8220823000010569,1.8220823000010569,1.8220823000010569,1.8220823000010569,2.8069080999994185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.806939100002637,2.82212199998321,2.82212199998321,2.82212199998321,2.82212199998321,2.82212199998321,2.82212199998321,2.82212199998321,2.82212199998321,3.8061136000033002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80613819998689,3.8221460999920964,3.8221460999920964,3.8221460999920964,3.8221460999920964,3.8221460999920964,3.8221460999920964,3.8221460999920964,3.8221460999920964,4.7901236999896355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7901636000024155,4.805676899995888,4.805676899995888,4.805676899995888,4.805676899995888,4.805676899995888,4.805676899995888,4.805676899995888,4.805676899995888,5.789331199979642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.789353300002404,5.805477099987911,5.805477099987911,5.805477099987911,5.805477099987911,5.805477099987911,5.805477099987911,5.805477099987911,5.805477099987911,6.773215799999889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.773242199997185,6.789398599998094,6.789398599998094,6.789398599998094,6.789398599998094,6.789398599998094,6.789398599998094,6.789398599998094,6.789398599998094,7.756255399988731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.756274399987888,7.772411799989641,7.772411799989641,7.772411799989641,7.772411799989641,7.772411799989641,7.772411799989641,7.772411799989641,7.772411799989641,8.740254400006961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74029379998683,8.756292799982475,9.755867200001376,9.740014599985443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150225,001,2024-04-30_15h40.52.377,searchArrayTrial,2024.1.1,None,2024-04-30 15h40.57.524950 -0400,
