trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,fixation_2.stopped,trial.started,mouse.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.01635566703043878,0.027740499994251877,1.9942964169895276,15.669251499988604,space,13.668541999999434,None,,,,,399424,001,2024-05-05_19h27.16.362,creatingimagesNEW,2024.1.4,None,2024-05-05 19h27.21.941237 -0400,
,,,,,,,15.716815708030481,,,,,,,,,15.688845542026684,20.980821833014488,20.98083349998342,0.004644125001505017,,,,,,,,
