triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.029360749991610646,0.03962787502678111,1.9966915840050206,5.086870042025112,space,3.0563370420131832,None,,,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(-0.25, 0)",g,0.0,0,0,0,6,5.174123958975542,,,,,,,,,5.130191374977585,6.441373499983456,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(-0.1875, -0.1875)",p,0.0,0,1,1,21,6.448297749971971,,,,,,,,,6.441541333973873,7.71002891700482,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0.1875, -0.1875)",p,0.0,0,2,2,19,7.717312625027262,,,,,,,,,7.710209999990184,8.97994375001872,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,3,3,12,8.987448791973293,,,,,,,,,8.980146042013075,10.249177124991547,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0.1875, -0.1875)",g,0.0,0,4,4,3,10.255877583986148,,,,,,,,,10.249328167003114,11.518051874998491,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0, -0.25)",p,0.0,0,5,5,20,11.524737292027567,,,,,,,,,11.518197249970399,12.786663417005911,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0.25, 0)",g,0.0,0,6,6,2,12.793391958985012,,,,,,,,,12.786821749992669,14.055343499989249,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0, 0.25)",p,0.0,0,7,7,16,14.062195124977734,,,,,,,,,14.055497792025562,15.324314417026471,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0.25, 0)",p,0.0,0,8,8,18,15.331066625018138,,,,,,,,,15.324471958971117,16.59318741702009,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(-0.1875, 0.1875)",g,0.0,0,9,9,7,16.59954862500308,,,,,,,,,16.593334208999295,17.861028624989558,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(-0.1875, -0.1875)",g,0.0,0,10,10,5,17.86788608401548,,,,,,,,,17.861180124979,19.129639042017516,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0.1875, 0.1875)",g,0.0,0,11,11,1,19.13612475001719,,,,,,,,,19.12978929199744,20.397781874984503,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,12,12,8,20.404231459018774,,,,,,,,,20.397938125010114,21.665443125006277,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,13,13,11,21.6718229589751,,,,,,,,,21.66558970900951,22.932767959020566,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,14,14,13,22.93949033401441,,,,,,,,,22.93291312502697,25.200820541998837,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
"(0, -0.25)",g,0.0,0,15,15,4,25.20989900000859,,,,,,,,,25.20097041700501,26.472522417025175,,,,,,,,289556,001,2024-05-06_12h03.46.994,creatingimagesNEW,2024.1.4,None,2024-05-06 12h03.53.733893 -0400,
