triangle_pos,triangle_color,pink_circle_pos,blue_circle_pos,red_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Real_Trials.started,Real_Trials.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.028088541002944112,0.05280420799681451,1.9934956249926472,3.4289274159964407,space,1.40150295800413,None,,,,,,,,,,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
,,,,,,,,,,,,,,,,,,,,,,3.4290000409964705,3.469963582989294,4.425912374994368,6.6542726249899715,space,2.223912624991499,None,,,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.25, 0)",r,0.0,0.0,,0,0,0,11,,,,,6.7645990409946535,,,,,,,,,,,,,,,,6.738805707995198,7.830838082998525,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0.0,,0,1,1,7,,,,,7.83750420800061,,,,,,,,,,,,,,,,7.83101466599328,8.599138666002546,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.1875, 0.1875)",b,0.0,0.0,,0,2,2,16,,,,,8.60575862499536,,,,,,,,,,,,,,,,8.599290707992623,9.567673083001864,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.1875, -0.1875)",r,0.0,0.0,,0,3,3,4,,,,,9.574314457990113,,,,,,,,,,,,,,,,9.567842040996766,10.735805332995369,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.25, 0)",b,0.0,0.0,,0,4,4,15,,,,,10.742615082999691,,,,,,,,,,,,,,,,10.73597433300165,12.061456124996766,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.1875, -0.1875)",g,0.0,"(-0.1875, 0.1875) ",,0,5,5,13,,,,,12.068179124995368,,,,,,,,,,,,,,,,12.061615375001566,13.029473582995706,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.25, 0)",g,0.0,0.0,,0,6,6,2,,,,,13.036082665988943,,,,,,,,,,,,,,,,13.029630124990945,13.997665749993757,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.25, 0)",b,0.0,0.0,,0,7,7,17,,,,,14.004008124989923,,,,,,,,,,,,,,,,13.997818541000015,14.965318832997582,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.25, 0)",g,0.0,"(0.1875, 0.1875)",,0,8,8,14,,,,,14.971660540992161,,,,,,,,,,,,,,,,14.965475290999166,16.13315379100095,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",0.0,,0,9,9,6,,,,,16.139410332994885,,,,,,,,,,,,,,,,16.133315165992826,17.100560874998337,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.25, 0)",r,0.0,0.0,,0,10,10,5,,,,,17.106891916002496,,,,,,,,,,,,,,,,17.10071779099235,17.96839362499304,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.1875, 0.1875)",r,0.0,0.0,,0,11,11,10,,,,,17.974741208003252,,,,,,,,,,,,,,,,17.968551582991495,19.336717874990427,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0, 0.25)",b,0.0,"(0, -0.25)",,0,12,12,18,,,,,19.343431916000554,,,,,,,,,,,,,,,,19.336889040991082,20.205002082991996,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0, 0.25)",r,0.0,0.0,,0,13,13,9,,,,,20.21156191600312,,,,,,,,,,,,,,,,20.205161915990175,21.072642040991923,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.1875, 0.1875)",b,0.0,"(-0.1875, -0.1875)",,0,14,14,19,,,,,21.07894820799993,,,,,,,,,,,,,,,,21.072801665999577,22.040771165993647,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.1875, -0.1875)",g,0.0,"(0.25, 0)",,0,15,15,12,,,,,22.047178749999148,,,,,,,,,,,,,,,,22.040933625001344,23.008746082996367,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.1875, 0.1875)",g,0.0,0.0,,0,16,16,1,,,,,23.015087583000422,,,,,,,,,,,,,,,,23.008899166001356,23.97720720799407,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0, 0.25)",g,0.0,0.0,,0,17,17,0,,,,,23.983512624996365,,,,,,,,,,,,,,,,23.977366708000773,25.14542266599892,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.25, 0)",b,0.0,"(0.1875, -0.1875)",,0,18,18,20,,,,,25.15193504099443,,,,,,,,,,,,,,,,25.14558658299211,26.413441874989076,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.1875, -0.1875)",r,0.0,0.0,,0,19,19,3,,,,,26.42005283299659,,,,,,,,,,,,,,,,26.413603875000263,27.281233790999977,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0.0,,0,20,20,8,,,,,27.287964957999066,,,,,,,,,,,,,,,,27.28139404099784,28.249324832999264,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0.1875, 0.1875)",b,0.0,"(-0.1875, -0.1875)",,1,0,21,19,,,,,28.25602158300171,,,,,,,,,,,,,,,,28.249484457992367,29.116860665992135,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(0, 0.25)",g,0.0,0.0,,1,1,22,0,,,,,29.123293208001996,,,,,,,,,,,,,,,,29.117021625002963,29.884682707997854,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
"(-0.1875, 0.1875)",b,0.0,0.0,,1,2,23,16,,,,,29.891090749995783,,,,,,,,,,,,,,,,29.884849333000602,30.852638957992895,,,,,,,,,,,,,,,,,463601,001,2024-05-12_00h41.30.327,creatingimagesNEW,2024.1.4,None,2024-05-12 00h41.36.819984 -0400,
