triangle_pos,triangle_color,pink_circle_pos,trials24.thisRepN,trials24.thisTrialN,trials24.thisN,trials24.thisIndex,thisRow.t,notes,trial.started,fixation.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,0,0,15,0.06747795801493339,,0.05075925000710413,0.06747795801493339,1.0035177080135327,1.0035177080135327,1.0035177080135327,1.0035177080135327,1.0035177080135327,1.0035177080135327,1.0035177080135327,1.0035177080135327,1.0033153329859488,1.0648074580240063,2.3076860830187798,-0.17444444444444446,0.18444444444444444,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0.1875, 0.1875)",p,0.0,0,1,1,17,2.3191134160151705,,2.3087614579999354,2.3191134160151705,3.3092734160018153,3.3092734160018153,3.3092734160018153,3.3092734160018153,3.3092734160018153,3.3092734160018153,3.3092734160018153,3.3092734160018153,1.000701167009538,3.3199996250041295,4.238857625023229,0.17333333333333334,0.15444444444444444,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,2,2,12,4.248266333015636,,4.239686250017257,4.248266333015636,5.241100790997734,5.241100790997734,5.241100790997734,5.241100790997734,5.241100790997734,5.241100790997734,5.241100790997734,5.241100790997734,1.0016330830112565,5.241100790997734,6.755505375011126,-0.01888888888888889,-0.2833333333333333,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0.1875, -0.1875)",g,0.0,0,3,3,3,6.764854875014862,,6.756314750004094,6.764854875014862,7.758788458013441,7.758788458013441,7.758788458013441,7.758788458013441,7.758788458013441,7.758788458013441,7.758788458013441,7.758788458013441,1.0026642919983715,7.758788458013441,9.088783708022675,0.20444444444444446,-0.18777777777777777,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,4,4,10,9.098007541004336,,9.089605832996313,9.098007541004336,10.092508291010745,10.092508291010745,10.092508291010745,10.092508291010745,10.092508291010745,10.092508291010745,10.092508291010745,10.092508291010745,1.0030866250162944,10.092508291010745,10.788732250017347,0.24,-0.03111111111111111,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(-0.25, 0)",p,0.0,0,5,5,22,10.798356875020545,,10.789560000004712,10.798356875020545,11.792338041006587,11.792338041006587,11.792338041006587,11.792338041006587,11.792338041006587,11.792338041006587,11.792338041006587,11.792338041006587,1.0029689999937546,11.792338041006587,12.655858083016938,-0.2388888888888889,-0.01888888888888889,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(-0.25, 0)",g,0.0,0,6,6,6,12.665279166016262,,12.656667458009906,12.665279166016262,13.659505666000769,13.659505666000769,13.659505666000769,13.659505666000769,13.659505666000769,13.659505666000769,13.659505666000769,13.659505666000769,1.0030360829841811,13.659505666000769,14.390436458023032,-0.23777777777777778,-0.03888888888888889,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0.25, 0)",g,0.0,0,7,7,2,14.415426166000543,,14.391242915997282,14.415426166000543,15.393314041022677,15.393314041022677,15.393314041022677,15.393314041022677,15.393314041022677,15.393314041022677,15.393314041022677,15.393314041022677,1.0022757500119042,15.415642416017363,16.156249416002538,0.26,-0.04111111111111111,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0, -0.25)",g,0.0,0,8,8,4,16.16545916601899,,16.157097375020385,16.16545916601899,17.158941333007533,17.158941333007533,17.158941333007533,17.158941333007533,17.158941333007533,17.158941333007533,17.158941333007533,17.158941333007533,1.0020174169912934,17.158941333007533,18.007597500021802,0.0077777777777777776,-0.2511111111111111,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0, 0.25)",g,0.0,0,9,9,0,18.032214625010965,,18.008384583023144,18.032214625010965,19.010511916014366,19.010511916014366,19.010511916014366,19.010511916014366,19.010511916014366,19.010511916014366,19.010511916014366,19.010511916014366,1.0023022910172585,19.032370958011597,20.372506041021552,0.0022222222222222222,0.28444444444444444,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0.1875, -0.1875)",p,0.0,0,10,10,19,20.381759708019672,,20.37334504100727,20.381759708019672,21.37526450000587,21.37526450000587,21.37526450000587,21.37526450000587,21.37526450000587,21.37526450000587,21.37526450000587,21.37526450000587,1.0021106660133228,21.37526450000587,22.10600162501214,0.17333333333333334,-0.18333333333333332,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,11,11,11,22.115383166004904,,22.106846083013806,22.115383166004904,23.109648665995337,23.109648665995337,23.109648665995337,23.109648665995337,23.109648665995337,23.109648665995337,23.109648665995337,23.109648665995337,1.002980999997817,23.109648665995337,23.856486458011204,0.19444444444444445,-0.19333333333333333,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,12,12,8,23.865824166015955,,23.85734704101924,23.865824166015955,24.86058025000966,24.86058025000966,24.86058025000966,24.86058025000966,24.86058025000966,24.86058025000966,24.86058025000966,24.86058025000966,1.0034302920103073,24.86058025000966,25.722856000007596,0.0,0.22444444444444445,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,13,13,13,25.73229350001202,,25.723712875013007,25.73229350001202,26.724963000015123,26.724963000015123,26.724963000015123,26.724963000015123,26.724963000015123,26.724963000015123,26.724963000015123,26.724963000015123,1.0014345000090543,26.724963000015123,27.572909708018415,-0.18777777777777777,-0.2011111111111111,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,14,14,9,27.582355499995174,,27.573755999997957,27.582355499995174,28.566606583015528,28.566606583015528,28.566606583015528,28.566606583015528,28.566606583015528,28.566606583015528,28.566606583015528,28.566606583015528,1.0002155420079362,28.57383216600283,29.78975687501952,0.18888888888888888,0.16777777777777778,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
"(-0.1875, -0.1875)",p,0.0,0,15,15,21,29.799245166010223,,29.790628000017023,29.799245166010223,30.793761541019194,30.793761541019194,30.793761541019194,30.793761541019194,30.793761541019194,30.793761541019194,30.793761541019194,30.793761541019194,1.0033014999935403,30.793761541019194,31.573240124998847,-0.19,-0.19777777777777777,1,0,0,[0],triangle1,474922,001,2024-05-04_15h23.03.266,creatingimages,2024.1.4,None,2024-05-04 15h23.09.667722 -0400,
