triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,fixation_2.stopped,trial.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.014092458004597574,0.026835041993763298,1.9983154170331545,2.8652217920171097,space,0.8364837080007419,None,,,,,,,,,,,,,,,,,,,,,390457,001,2024-05-05_17h50.19.780,creatingimagesNEW,2024.1.4,None,2024-05-05 17h50.27.049952 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,0,0,8,2.922940250020474,,,,,,,,,2.882145416981075,2.8981576670194045,2.8981715830159374,0.005966749973595142,3.8984824169892818,3.8984824169892818,3.8984824169892818,3.8984824169892818,3.8984824169892818,3.8984824169892818,3.8984824169892818,3.8984824169892818,5.456657333008479,-0.0011574074074074073,0.2349537037037037,1,0,0,[1],triangle1,390457,001,2024-05-05_17h50.19.780,creatingimagesNEW,2024.1.4,None,2024-05-05 17h50.27.049952 -0400,
"(0, 0.25)",g,0.0,0,1,1,0,5.470225125027355,,,,,,,,,5.457568791985977,5.460508249991108,5.460518917010631,0.0041437080362811685,6.464491042017471,6.464491042017471,6.464491042017471,6.464491042017471,6.464491042017471,6.464491042017471,6.464491042017471,6.464491042017471,7.556680916983169,0.003472222222222222,0.2175925925925926,1,0,0,[1],triangle1,390457,001,2024-05-05_17h50.19.780,creatingimagesNEW,2024.1.4,None,2024-05-05 17h50.27.049952 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,2,2,12,7.569674792001024,,,,,,,,,7.557312457996886,7.560260500002187,7.560271458001807,0.004235042026266456,8.5655907500186,8.5655907500186,8.5655907500186,8.5655907500186,8.5655907500186,8.5655907500186,8.5655907500186,8.5655907500186,9.740036875009537,0.004629629629629629,-0.2789351851851852,1,0,0,[1],triangle1,390457,001,2024-05-05_17h50.19.780,creatingimagesNEW,2024.1.4,None,2024-05-05 17h50.27.049952 -0400,
,,,,,,,9.753037957998458,,,,,,,,,9.740665082994383,9.743615708022844,9.743626791983843,0.004192624997813255,10.748459207999986,10.748459207999986,10.748459207999986,10.748459207999986,10.748459207999986,10.748459207999986,10.748459207999986,10.748459207999986,,,,,,,,,,,,,,,,
