triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,fixation_2.stopped,trial.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.016722875006962568,0.02391212503425777,1.9974686250207014,3.9982516249874607,space,1.979303375002928,None,,,,,,,,,,,,,,,,,,,,,228923,001,2024-05-05_19h16.24.019,creatingimagesNEW,2024.1.4,None,2024-05-05 19h16.30.568888 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,0,0,8,4.043531500035897,,,,,,,,,4.013328208995517,4.244503959023859,4.244515334023163,0.004752499982714653,5.245744417014066,5.245744417014066,5.245744417014066,5.245744417014066,5.245744417014066,5.245744417014066,5.245744417014066,5.245744417014066,12.148776834015734,0.008101851851851851,0.20949074074074073,1,0,0,[1],triangle1,228923,001,2024-05-05_19h16.24.019,creatingimagesNEW,2024.1.4,None,2024-05-05 19h16.30.568888 -0400,
"(-0.1875, -0.1875)",g,0.0,0,1,1,5,12.156423917040229,,,,,,,,,12.149718084023334,12.356833084020764,12.356843625020701,0.0037213339819572866,13.35563375003403,13.35563375003403,13.35563375003403,13.35563375003403,13.35563375003403,13.35563375003403,13.35563375003403,13.35563375003403,15.731494542036671,-0.18055555555555555,-0.19212962962962962,1,0,0,[1],triangle1,228923,001,2024-05-05_19h16.24.019,creatingimagesNEW,2024.1.4,None,2024-05-05 19h16.30.568888 -0400,
"(0, 0.25)",g,0.0,0,2,2,0,15.739658709033392,,,,,,,,,15.732131625001784,15.939974042004906,15.939990125014447,0.003697957959957421,16.938697000034153,16.938697000034153,16.938697000034153,16.938697000034153,16.938697000034153,16.938697000034153,16.938697000034153,16.938697000034153,17.965306792000774,0.020833333333333332,0.21875,1,0,0,[1],triangle1,228923,001,2024-05-05_19h16.24.019,creatingimagesNEW,2024.1.4,None,2024-05-05 19h16.30.568888 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,3,3,13,17.972837542009074,,,,,,,,,17.965979417029303,18.173277124995366,18.17328849999467,0.003805916989222169,19.170997959037777,19.170997959037777,19.170997959037777,19.170997959037777,19.170997959037777,19.170997959037777,19.170997959037777,19.170997959037777,20.09826525003882,-0.2048611111111111,-0.18055555555555555,1,0,0,[1],triangle1,228923,001,2024-05-05_19h16.24.019,creatingimagesNEW,2024.1.4,None,2024-05-05 19h16.30.568888 -0400,
,,,,,,,20.1063388340408,,,,,,,,,20.098903125035577,20.306733042001724,20.306743792025372,0.0037987499963492155,21.305619666993152,21.305619666993152,21.305619666993152,21.305619666993152,21.305619666993152,21.305619666993152,21.305619666993152,21.305619666993152,,,,,,,,,,,,,,,,
