trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02052016695961356,0.03531204198952764,1.9958992499741726,2.6832165829837322,space,0.6608340839738958,None,,798593,001,2024-05-05_20h08.22.268,creatingimagesNEW,2024.1.4,None,2024-05-05 20h08.29.417074 -0400,
,,,,,,,2.796035417006351,,,,,,,,,2.7225199999520555,,,,,,,,
