test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.01190899999346584,0.03028399997856468,2.0136828999966383,2.4160450999625027,space,2.405657299910672,None,,275961,001,2024-05-06_16h10.58.541,creatingimagesNEW,2024.1.1,None,2024-05-06 16h11.02.580554 -0400,
,,,,,,,2.429992499994114,,,,,,,,,2.41934499994386,,,,,,,,
