triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02204508299473673,0.034562915971037,1.9968015410122462,2.3998423329903744,space,0.3756679999642074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,0,0,13,2.44671633298276,,,,,,,,,2.4163015409721993,4.710919582983479,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,1,1,11,4.72024854097981,,,,,,,,,4.711073749989737,5.981735875015147,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(-0.1875, 0.1875)",p,0.0,0,2,2,23,5.988429415971041,,,,,,,,,5.981890833005309,10.250724041019566,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,3,3,9,10.259741374989972,,,,,,,,,10.250875625002664,13.521359207981732,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(-0.25, 0)",g,0.0,0,4,4,6,13.529757458018139,,,,,,,,,13.521509790967684,14.790859583008569,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,5,5,8,14.79743412497919,,,,,,,,,14.79102000000421,16.058466166025028,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(-0.1875, -0.1875)",g,0.0,0,6,6,5,16.065124040993396,,,,,,,,,16.058651875006035,17.32673029100988,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(-0.1875, -0.1875)",p,0.0,0,7,7,21,17.33327616599854,,,,,,,,,17.326885832997505,19.59497008298058,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,8,8,14,19.60317550000036,,,,,,,,,19.595118916011415,20.864571832993533,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0.1875, 0.1875)",p,0.0,0,9,9,17,20.871070666005835,,,,,,,,,20.864721665973775,22.131965874985326,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0, -0.25)",g,0.0,0,10,10,4,22.138624166022055,,,,,,,,,22.13212254102109,24.400494166009594,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0.1875, -0.1875)",g,0.0,0,11,11,3,24.408745000022464,,,,,,,,,24.400644749985076,25.670236708014272,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,12,12,12,25.67680041596759,,,,,,,,,25.670387665973976,26.93819912499748,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,13,13,10,26.944953833008185,,,,,,,,,26.938352458004374,29.205991750000976,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0.1875, 0.1875)",g,0.0,0,14,14,1,29.21430870797485,,,,,,,,,29.206141708011273,30.47530354099581,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,15,15,15,30.48171441600425,,,,,,,,,30.475454290979542,31.742642124998383,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0, 0.25)",p,0.0,0,16,16,16,31.749101165973116,,,,,,,,,31.742796875012573,33.010113916010596,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0, -0.25)",p,0.0,0,17,17,20,33.01673904102063,,,,,,,,,33.0102665409795,34.278830332972575,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
"(0.25, 0)",p,0.0,0,18,18,18,34.28531895799097,,,,,,,,,34.27898629097035,35.54626904102042,,,,,,,,,,,,,,,,,,,,,,,,,,074574,001,2024-05-05_23h21.08.937,creatingimagesNEW,2024.1.4,None,2024-05-05 23h21.14.714071 -0400,
