triangle_pos,triangle_color,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.00418000016361475,0.022782100131735206,2.007078400114551,2.0091125001199543,space,1.9873009000439197,None,,,,,,,,,,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
,,,,,,,,,,,,,,,,,2.0091689999680966,2.0236359999980778,3.0238419000525028,3.1253039999864995,space,None,None,,,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(-0.1875, 0.1875)",g,0.0,"(0.25, 0)",0,0,0,39,3.354717600159347,,,,,,,,,,,,,,,,3.1343429000116885,4.332845400087535,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(-0.25, 0)",r,"(0.1875, -0.1875)",0.0,0,1,1,30,4.554849799955264,,,,,,,,,,,,,,,,4.333181600086391,5.311825999990106,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(-0.1875, -0.1875)",r,0.0,0.0,0,2,2,21,5.521285700146109,,,,,,,,,,,,,,,,5.312178699998185,6.178527100011706,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0, -0.25)",b,0.0,0.0,0,3,3,44,6.388251699972898,,,,,,,,,,,,,,,,6.17883690004237,7.163932700175792,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0, 0.25)",g,0.0,"(-0.1875, -0.1875)",0,4,4,32,7.3718388001434505,,,,,,,,,,,,,,,,7.16434650006704,8.045519000152126,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0.1875, 0.1875)",g,0.0,"(0, -0.25)",0,5,5,33,8.255355900153518,,,,,,,,,,,,,,,,8.045828400179744,9.129545600153506,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0.1875, -0.1875)",r,0.0,0.0,0,6,6,19,9.355624899966642,,,,,,,,,,,,,,,,9.129986500134692,10.027451600180939,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0.25, 0)",b,0.0,"(-0.1875, 0.1875)",0,7,7,50,10.238786600064486,,,,,,,,,,,,,,,,10.027854199986905,10.911606800043955,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(-0.1875, 0.1875)",g,"(0.25, 0)",0.0,0,8,8,15,11.121566300047562,,,,,,,,,,,,,,,,10.911915899952874,11.795247900066897,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0, 0.25)",g,0.0,0.0,0,9,9,0,12.004581999965012,,,,,,,,,,,,,,,,11.795586900087073,12.681728500174358,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0.1875, -0.1875)",r,"(-0.25, 0)",0.0,0,10,10,27,12.90524430014193,,,,,,,,,,,,,,,,12.682112999958917,13.579081100178882,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0.0,0,11,11,9,13.788544500013813,,,,,,,,,,,,,,,,13.579377700109035,27.53968060016632,940355,001,2024-05-10_12h40.50.995,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.54.773448 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,27.54002680000849,,,,,,,,,
