trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.004871299955993891,0.022633299930021167,0.022633299930021167,0.6262298999354243,space,0.621364500024356,None,,,,,,,,,,,,,126427,001,2024-05-04_21h59.59.902,creatingimagesNEW,2024.1.1,None,2024-05-04 22h00.03.815058 -0400,
,,,,,,,0.6550921000307426,,,,,,,,,0.6323846000013873,0.6550921000307426,0.008723299950361252,1.6403435999527574,1.6403435999527574,1.6403435999527574,1.6403435999527574,1.6403435999527574,1.6403435999527574,1.6403435999527574,1.6403435999527574,1.6565375999780372,,,,,,,,
