triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0016104000387713313,0.004327900009229779,0.004327900009229779,0.8072973000817001,space,0.7989820999791846,None,,,,,,,,,,,,,,,,,,,,,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0, -0.25)",g,0.0,0,0,0,4,0.8214769000187516,,,,,,,,,0.8133046000730246,0.8214769000187516,0.008535900036804378,1.822200300055556,1.822200300055556,1.822200300055556,1.822200300055556,1.822200300055556,1.822200300055556,1.822200300055556,1.822200300055556,1.822200300055556,10.968736000009812,0.001851851851851852,-0.24166666666666667,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(-0.1875, 0.1875)",g,0.0,0,1,1,7,10.975825799978338,,,,,,,,,10.97114799998235,10.975825799978338,0.0026922000106424093,11.972510899999179,11.972510899999179,11.972510899999179,11.972510899999179,11.972510899999179,11.972510899999179,11.972510899999179,11.972510899999179,11.98904080002103,13.15666490001604,-0.19166666666666668,0.18703703703703703,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0.1875, 0.1875)",g,0.0,0,2,2,1,13.172436300083064,,,,,,,,,13.157315200078301,13.172436300083064,0.002830800018273294,14.172176499967463,14.172176499967463,14.172176499967463,14.172176499967463,14.172176499967463,14.172176499967463,14.172176499967463,14.172176499967463,14.172176499967463,15.073289899970405,0.19074074074074074,0.17037037037037037,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0, 0.25)",g,0.0,0,3,3,0,15.08923759998288,,,,,,,,,15.073979999986477,15.08923759998288,0.002842899993993342,16.089465699973516,16.089465699973516,16.089465699973516,16.089465699973516,16.089465699973516,16.089465699973516,16.089465699973516,16.089465699973516,16.089465699973516,16.890594900003634,-0.01574074074074074,0.23148148148148148,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(-0.25, 0)",g,0.0,0,4,4,6,16.906216499977745,,,,,,,,,16.89123229996767,16.906216499977745,0.002597999991849065,17.906263299984857,17.906263299984857,17.906263299984857,17.906263299984857,17.906263299984857,17.906263299984857,17.906263299984857,17.906263299984857,17.906263299984857,19.190919800079428,-0.2574074074074074,0.000925925925925926,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0.1875, 0.1875)",p,0.0,0,5,5,17,19.205877500004135,,,,,,,,,19.191566599998623,19.205877500004135,0.002655399963259697,20.20634620008059,20.20634620008059,20.20634620008059,20.20634620008059,20.20634620008059,20.20634620008059,20.20634620008059,20.20634620008059,20.20634620008059,21.107600299990736,0.19166666666666668,0.18333333333333332,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0, 0.25)",p,0.0,0,6,6,16,21.12255460000597,,,,,,,,,21.108319199993275,21.12255460000597,0.003541699959896505,22.12320690008346,22.12320690008346,22.12320690008346,22.12320690008346,22.12320690008346,22.12320690008346,22.12320690008346,22.12320690008346,22.12320690008346,22.824278600048274,-0.008333333333333333,0.24259259259259258,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0, -0.25)",p,0.0,0,7,7,20,22.839471200015396,,,,,,,,,22.825194900040515,22.839471200015396,0.004499300033785403,23.839927099994384,23.839927099994384,23.839927099994384,23.839927099994384,23.839927099994384,23.839927099994384,23.839927099994384,23.839927099994384,23.839927099994384,26.458075599977747,-0.007407407407407408,-0.23703703703703705,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0.25, 0)",g,0.0,0,8,8,2,26.47287060006056,,,,,,,,,26.45874630007893,26.47287060006056,0.0027756000636145473,27.473335599992424,27.473335599992424,27.473335599992424,27.473335599992424,27.473335599992424,27.473335599992424,27.473335599992424,27.473335599992424,27.473335599992424,28.50752400001511,0.2537037037037037,0.013888888888888888,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,9,9,11,28.523163400008343,,,,,,,,,28.508145699976012,28.523163400008343,0.0027010999619960785,29.523034500074573,29.523034500074573,29.523034500074573,29.523034500074573,29.523034500074573,29.523034500074573,29.523034500074573,29.523034500074573,29.523034500074573,31.7745146000525,0.1675925925925926,-0.21296296296296297,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,10,10,13,31.790177699993365,,,,,,,,,31.77523370005656,31.790177699993365,0.002812199993059039,32.79009260004386,32.79009260004386,32.79009260004386,32.79009260004386,32.79009260004386,32.79009260004386,32.79009260004386,32.79009260004386,32.79009260004386,34.007301600067876,-0.20277777777777778,-0.1814814814814815,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(-0.1875, -0.1875)",p,0.0,0,11,11,21,34.0227819000138,,,,,,,,,34.00808170007076,34.0227819000138,0.0025945999659597874,35.023369100061245,35.023369100061245,35.023369100061245,35.023369100061245,35.023369100061245,35.023369100061245,35.023369100061245,35.023369100061245,35.023369100061245,35.70762650005054,-0.2064814814814815,-0.1935185185185185,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,12,12,12,35.72365230007563,,,,,,,,,35.708410200080834,35.72365230007563,0.0028202999383211136,36.72361009998713,36.72361009998713,36.72361009998713,36.72361009998713,36.72361009998713,36.72361009998713,36.72361009998713,36.72361009998713,36.72361009998713,38.158393300022,-0.013888888888888888,-0.23796296296296296,1,0,0,[1],triangle1,810498,001,2024-05-04_21h36.42.523,creatingimagesNEW,2024.1.1,None,2024-05-04 21h36.48.525286 -0400,
,,,,,,,38.17381170007866,,,,,,,,,38.15910559997428,38.17381170007866,0.0028377000708132982,39.17411030002404,39.17411030002404,39.17411030002404,39.17411030002404,39.17411030002404,39.17411030002404,39.17411030002404,39.17411030002404,39.17411030002404,,,,,,,,,,,,,,,,
