test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.011546700028702617,0.029523000004701316,2.0132411000085995,2.1004828000441194,space,2.0945358000462875,None,,815649,001,2024-05-06_15h31.28.712,creatingimagesNEW,2024.1.1,None,2024-05-06 15h31.39.003174 -0400,
,,,,,,,2.113258199999109,,,,,,,,,2.104065400082618,,,,,,,,
