triangle_pos,triangle_color,pink_circle_pos,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.021703457983676344,0.038460791984107345,1.997876749956049,2.1354874579701573,space,0.11381666600937024,None,,,,,,,,,,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
,,,,,,,,,,,,,,,,,,,,,,2.1355262500001118,2.1552925829892047,3.131002832960803,3.290023666981142,space,0.14165487501304597,None,,,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(0.25, 0)",g,0.0,,,0,0,0,2,,,,,3.369060457975138,,,,,,,,,,,,,,,,3.354311874951236,4.337386499973945,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(-0.25, 0)",p,0.0,,,0,1,1,5,,,,,4.343862957961392,,,,,,,,,,,,,,,,4.337558707979042,5.30616795795504,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(0.1875, -0.1875)",p,0.0,,,0,2,2,3,,,,,5.31285583297722,,,,,,,,,,,,,,,,5.306327249971218,6.275733707996551,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,0,3,3,6,,,,,6.282408375001978,,,,,,,,,,,,,,,,6.275905832997523,7.444948999967892,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,0,4,4,7,,,,,7.451642333006021,,,,,,,,,,,,,,,,7.445124166959431,8.513716374989599,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(0, 0.25)",g,0.0,,,0,5,5,0,,,,,8.520471249998081,,,,,,,,,,,,,,,,8.513881624967325,9.582690832961816,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(0.1875, 0.1875)",g,0.0,,,0,6,6,1,,,,,9.58899904199643,,,,,,,,,,,,,,,,9.58284474996617,10.550938082975335,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(-0.1875, -0.1875)",p,0.0,,,0,7,7,4,,,,,10.557148957974277,,,,,,,,,,,,,,,,10.551090082968585,11.619172457954846,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,0,8,8,8,,,,,11.625884582987055,,,,,,,,,,,,,,,,11.619328999950085,12.788200374983717,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,1,0,9,7,,,,,12.79522970796097,,,,,,,,,,,,,,,,12.788361332961358,13.957785582984798,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(0, 0.25)",g,0.0,,,1,1,10,0,,,,,13.964562082954217,,,,,,,,,,,,,,,,13.957944291993044,15.02670283295447,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
"(0.1875, 0.1875)",g,0.0,,,1,2,11,1,,,,,15.033258666982874,,,,,,,,,,,,,,,,15.02686108299531,16.09566474996973,,,,,,,,,,072373,001,2024-05-09_12h55.51.011,creatingimagesNEW,2024.1.4,None,2024-05-09 12h56.00.596622 -0400,
