test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,triangle_pos,triangle_color,red_circle_pos,blue_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.014314500149339437,0.03366379998624325,2.0006979000754654,4.886353499954566,space,4.877637000055984,None,,,,,,,,,183204,001,2024-05-10_12h33.12.786,creatingimagesNEW,2024.1.1,None,2024-05-10 12h33.18.335061 -0400,
,,,,,,,,,,,,,,,,,4.886406700126827,4.900079200044274,5.900865300092846,6.336529399966821,space,6.331195899983868,None,,183204,001,2024-05-10_12h33.12.786,creatingimagesNEW,2024.1.1,None,2024-05-10 12h33.18.335061 -0400,
,,,,,,,,6.364954200107604,,,,,,,,,,,,,,,,6.348241100087762,,,,,,,,
