trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03046820795862004,0.04046224994817749,1.9963080829475075,4.255455291946419,space,2.237176875001751,None,,401705,001,2024-05-05_20h46.17.716,creatingimagesNEW,2024.1.4,None,2024-05-05 20h46.27.554989 -0400,
,,,,,,,4.336676791950595,,,,,,,,,4.291472041979432,,,,,,,,
