thisRow.t,notes,WelcomePage.started,textWelcomeMessage.started,key_resp.started,WelcomePage.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image1_1.started,greencircle1.started,greencircle2.started,greencircle3.started,greencircle4.started,greencircle5.started,greencircle6.started,greencircle7.started,greentriangle.started,image1_1.stopped,image1_2.started,greencircle1_2.started,greencircle2_2.started,greencircle3_2.started,greencircle4_2.started,greencircle5_2.started,greencircle6_2.started,greencircle7_2.started,greentriangle_2.started,image1_2.stopped,image1_3.started,greencircle1_3.started,greencircle2_3.started,greencircle3_3.started,greencircle4_3.started,greencircle5_3.started,greencircle6_3.started,greencircle7_3.started,greentriangle_3.started,image1_3.stopped,image1_4.started,greencircle1_4.started,greencircle2_4.started,greencircle3_4.started,greencircle4_4.started,greencircle5_4.started,greencircle6_4.started,greencircle7_4.started,greentriangle_4.started,image1_4.stopped,image1_5.started,greencircle1_5.started,greencircle2_5.started,greencircle3_5.started,greencircle4_5.started,greencircle5_5.started,greencircle6_5.started,greencircle7_5.started,greentriangle_5.started,image1_5.stopped,image1_6.started,greencircle1_6.started,greencircle2_6.started,greencircle3_6.started,greencircle4_6.started,greencircle5_6.started,greencircle6_6.started,greencircle7_6.started,greentriangle_6.started,image1_6.stopped,image1_7.started,greencircle1_7.started,greencircle2_7.started,greencircle3_7.started,greencircle4_7.started,greencircle5_7.started,greencircle6_7.started,greencircle7_7.started,greentriangle_7.started,image1_7.stopped,image1_8.started,greencircle1_8.started,greencircle2_8.started,greencircle3_8.started,greencircle4_8.started,greencircle5_8.started,greencircle6_8.started,greencircle7_8.started,greentriangle_8.started,image1_8.stopped,image2_1.started,pinkcircle1_1.started,greencircle2_1.started,greencircle3_1.started,greencircle4_1.started,greencircle5_1.started,greencircle6_1.started,greencircle7_1.started,greencircle8_1.started,pinkcircle1_1.stopped,greencircle2_1.stopped,greencircle3_1.stopped,greencircle4_1.stopped,greencircle5_1.stopped,greencircle6_1.stopped,greencircle7_1.stopped,greencircle8_1.stopped,image2_1.stopped,image2_2.started,image2_2.stopped,image2_3.started,image2_3.stopped,image2_4.started,image2_4.stopped,image2_5.started,image2_5.stopped,image2_6.started,image2_6.stopped,image2_7.started,image2_7.stopped,image2_8.started,image2_8.stopped,image3_1.started,greencircle1_9.started,greencircle2_9.started,greencircle3_9.started,greencircle4_9.started,greencircle5_9.started,greencircle6_9.started,greencircle7_9.started,pinktriangle.started,image3_1.stopped,image3_2.started,greencircle1_10.started,greencircle2_10.started,greencircle3_10.started,greencircle4_10.started,greencircle5_10.started,greencircle6_10.started,greencircle7_10.started,greentriangle_9.started,image3_2.stopped,image3_3.started,greencircle1_11.started,greencircle2_11.started,greencircle3_11.started,greencircle4_11.started,greencircle5_11.started,greencircle6_11.started,greencircle7_11.started,greentriangle_10.started,image3_3.stopped,image3_4.started,greencircle1_12.started,greencircle2_12.started,greencircle3_12.started,greencircle4_12.started,greencircle5_12.started,greencircle6_12.started,greencircle7_12.started,greentriangle_11.started,image3_4.stopped,image3_5.started,greencircle1_13.started,greencircle2_13.started,greencircle3_13.started,greencircle4_13.started,greencircle5_13.started,greencircle6_13.started,greencircle7_13.started,greentriangle_12.started,image3_5.stopped,image3_6.started,greencircle1_14.started,greencircle2_14.started,greencircle3_14.started,greencircle4_14.started,greencircle5_14.started,greencircle6_14.started,greencircle7_14.started,greentriangle_13.started,image3_6.stopped,image3_7.started,greencircle1_15.started,greencircle2_15.started,greencircle3_15.started,greencircle4_15.started,greencircle5_15.started,greencircle6_15.started,greencircle7_15.started,greentriangle_14.started,image3_7.stopped,image3_8.started,greencircle1_16.started,greencircle2_16.started,greencircle3_16.started,greencircle4_16.started,greencircle5_16.started,greencircle6_16.started,greencircle7_16.started,greentriangle_15.started,image3_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12448569998378,13.124874300003285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.124891499988735,13.125149900006363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.125165300007211,13.12540339998668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.125418499985244,13.125663099985104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12567839998519,13.125868800008902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.125883900007466,13.126152999990154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.126167999987956,13.126409999997122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12642539999797,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,14.124508000008063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.124530300003244,14.140847800008487,14.140847800008487,14.140847800008487,14.140847800008487,14.140847800008487,14.140847800008487,14.140847800008487,14.140847800008487,15.108252100006212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.108292999997502,15.123917399992933,15.123917399992933,15.123917399992933,15.123917399992933,15.123917399992933,15.123917399992933,15.123917399992933,15.123917399992933,16.092167299997527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.092212599993218,16.10751529998379,16.10751529998379,16.10751529998379,16.10751529998379,16.10751529998379,16.10751529998379,16.10751529998379,16.10751529998379,17.092193299991777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.092245699983323,17.107686999981524,17.107686999981524,17.107686999981524,17.107686999981524,17.107686999981524,17.107686999981524,17.107686999981524,17.107686999981524,18.07549739998649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.07554029999301,18.0908519999939,18.0908519999939,18.0908519999939,18.0908519999939,18.0908519999939,18.0908519999939,18.0908519999939,18.0908519999939,19.05884199999855,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.05888659998891,19.073911399987992,19.073911399987992,19.073911399987992,19.073911399987992,19.073911399987992,19.073911399987992,19.073911399987992,19.073911399987992,20.058877700008452,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05892149999272,20.07408960000612,20.07408960000612,20.07408960000612,20.07408960000612,20.07408960000612,20.07408960000612,20.07408960000612,20.07408960000612,21.042357400001492,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
