triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Text.stopped,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.015159200062043965,0.03383269999176264,2.0005401000380516,2.418020599987358,space,2.4096029000356793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(0.25, 0)",g,0.0,0,0,0,2,2.4338053000392392,,,,,,,,,2.424552800017409,2.4338053000392392,0.009092999971471727,3.4168396999593824,3.4168396999593824,3.4168396999593824,3.4168396999593824,3.4168396999593824,3.4168396999593824,3.4168396999593824,3.4168396999593824,3.4338210000423715,4.101659500040114,0.2638888888888889,-0.03125,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,1,1,11,4.117065500002354,,,,,,,,,4.102450900012627,4.117065500002354,0.002999400021508336,5.11710559995845,5.11710559995845,5.11710559995845,5.11710559995845,5.11710559995845,5.11710559995845,5.11710559995845,5.11710559995845,5.11710559995845,5.9020022000186145,0.19560185185185186,-0.19328703703703703,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,2,2,15,5.917119299992919,,,,,,,,,5.902560299960896,5.917119299992919,0.0029402999207377434,6.917410299996845,6.917410299996845,6.917410299996845,6.917410299996845,6.917410299996845,6.917410299996845,6.917410299996845,6.917410299996845,6.917410299996845,7.651406400022097,-0.20717592592592593,0.16319444444444445,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(0.1875, 0.1875)",g,0.0,0,3,3,1,7.667917400016449,,,,,,,,,7.651948399958201,7.667917400016449,0.002945000072941184,8.667497099959292,8.667497099959292,8.667497099959292,8.667497099959292,8.667497099959292,8.667497099959292,8.667497099959292,8.667497099959292,8.667497099959292,9.368176199961454,0.19212962962962962,0.16087962962962962,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(-0.1875, 0.1875)",p,0.0,0,4,4,23,9.384406500030309,,,,,,,,,9.368724799947813,9.384406500030309,0.0026875000912696123,10.383976500015706,10.383976500015706,10.383976500015706,10.383976500015706,10.383976500015706,10.383976500015706,10.383976500015706,10.383976500015706,10.383976500015706,11.00181170005817,-0.1712962962962963,0.1724537037037037,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,5,5,12,11.017424199962988,,,,,,,,,11.00234799995087,11.017424199962988,0.002763999975286424,12.017479700036347,12.017479700036347,12.017479700036347,12.017479700036347,12.017479700036347,12.017479700036347,12.017479700036347,12.017479700036347,12.017479700036347,13.252158400020562,-0.004629629629629629,-0.26273148148148145,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(0, -0.25)",g,0.0,0,6,6,4,13.268009699997492,,,,,,,,,13.252789800055325,13.268009699997492,0.002756799920462072,14.267645300016738,14.267645300016738,14.267645300016738,14.267645300016738,14.267645300016738,14.267645300016738,14.267645300016738,14.267645300016738,14.267645300016738,15.451971899950877,-0.011574074074074073,-0.24189814814814814,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,7,7,14,15.468027399969287,,,,,,,,,15.452548900037073,15.468027399969287,0.0026974999345839024,16.46786760003306,16.46786760003306,16.46786760003306,16.46786760003306,16.46786760003306,16.46786760003306,16.46786760003306,16.46786760003306,16.46786760003306,17.535552500048652,-0.2465277777777778,-0.023148148148148147,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(0.1875, -0.1875)",g,0.0,0,8,8,3,17.550992500036955,,,,,,,,,17.53610300004948,17.550992500036955,0.0027085000183433294,18.53536790004,18.53536790004,18.53536790004,18.53536790004,18.53536790004,18.53536790004,18.53536790004,18.53536790004,18.551643199985847,19.26919010002166,0.18518518518518517,-0.1840277777777778,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,9,9,13,19.28469630004838,,,,,,,,,19.26968589995522,19.28469630004838,0.0027306999545544386,20.285129399970174,20.285129399970174,20.285129399970174,20.285129399970174,20.285129399970174,20.285129399970174,20.285129399970174,20.285129399970174,20.285129399970174,21.48580090003088,-0.19560185185185186,-0.16666666666666666,1,0,0,[1],triangle1,,,,,,,,,089528,001,2024-05-04_22h14.17.657,creatingimagesNEW,2024.1.1,None,2024-05-04 22h14.21.675798 -0400,
