thisRow.t,notes,WelcomePage.started,textWelcomeMessage.started,key_resp.started,WelcomePage.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image1_1.started,greencircle1.started,greencircle2.started,greencircle3.started,greencircle4.started,greencircle5.started,greencircle6.started,greencircle7.started,greentriangle.started,image1_1.stopped,image1_2.started,greencircle1_2.started,greencircle2_2.started,greencircle3_2.started,greencircle4_2.started,greencircle5_2.started,greencircle6_2.started,greencircle7_2.started,greentriangle_2.started,image1_2.stopped,image1_3.started,greencircle1_3.started,greencircle2_3.started,greencircle3_3.started,greencircle4_3.started,greencircle5_3.started,greencircle6_3.started,greencircle7_3.started,greentriangle_3.started,image1_3.stopped,image1_4.started,greencircle1_4.started,greencircle2_4.started,greencircle3_4.started,greencircle4_4.started,greencircle5_4.started,greencircle6_4.started,greencircle7_4.started,greentriangle_4.started,image1_4.stopped,image1_5.started,greencircle1_5.started,greencircle2_5.started,greencircle3_5.started,greencircle4_5.started,greencircle5_5.started,greencircle6_5.started,greencircle7_5.started,greentriangle_5.started,image1_5.stopped,image1_6.started,greencircle1_6.started,greencircle2_6.started,greencircle3_6.started,greencircle4_6.started,greencircle5_6.started,greencircle6_6.started,greencircle7_6.started,greentriangle_6.started,image1_6.stopped,image1_7.started,greencircle1_7.started,greencircle2_7.started,greencircle3_7.started,greencircle4_7.started,greencircle5_7.started,greencircle6_7.started,greencircle7_7.started,greentriangle_7.started,image1_7.stopped,image1_8.started,greencircle1_8.started,greencircle2_8.started,greencircle3_8.started,greencircle4_8.started,greencircle5_8.started,greencircle6_8.started,greencircle7_8.started,greentriangle_8.started,image1_8.stopped,image2_1.started,pinkcircle1_9.started,greentriangle2_9.started,greencircle3_9.started,greencircle4_9.started,greencircle5_9.started,greencircle6_9.started,greencircle7_9.started,greencircle8_9.started,pinkcircle1_9.stopped,greentriangle2_9.stopped,greencircle3_9.stopped,greencircle4_9.stopped,greencircle5_9.stopped,greencircle6_9.stopped,greencircle7_9.stopped,greencircle8_9.stopped,image2_1.stopped,image2_2.started,greencircle1_10.started,greencircle2_10.started,greentriangle3_10.started,greencircle4_10.started,greencircle5_10.started,greencircle6_10.started,pinkcircle7_10.started,greencircle8_10.started,greencircle1_10.stopped,greencircle2_10.stopped,greentriangle3_10.stopped,greencircle4_10.stopped,greencircle5_10.stopped,greencircle6_10.stopped,pinkcircle7_10.stopped,greencircle8_10.stopped,image2_2.stopped,image2_3.started,greencircle1_11.started,greencircle2_11.started,greencircle3_11.started,pinkcircle4_11.started,greencircle5_11.started,greentriangle6_11.started,greencircle7_11.started,greencircle8_11.started,image2_3.stopped,image2_4.started,greentriangle1_12.started,greencircle2_12.started,greencircle3_12.started,greencircle4_12.started,pinkcircle5_12.started,greencircle6_12.started,greencircle7_12.started,greencircle8_12.started,image2_4.stopped,image2_5.started,greencircle1_13.started,greencircle2_13.started,greencircle3_13.started,greencircle4_13.started,greentriangle5_13.started,greencircle6_13.started,greencircle7_13.started,pinkcircle8_13.started,image2_5.stopped,image2_6.started,image2_6.stopped,image2_7.started,image2_7.stopped,image2_8.started,image2_8.stopped,image3_1.started,greencircle1_17.started,greencircle2_17.started,greencircle3_17.started,greencircle4_17.started,greencircle5_17.started,greencircle6_17.started,greencircle7_17.started,pinktriangle8_17.started,image3_1.stopped,image3_2.started,greencircle1_18.started,greencircle2_18.started,greencircle3_18.started,greencircle4_18.started,greencircle5_18.started,greencircle6_18.started,greencircle7_18.started,greentriangle_18.started,image3_2.stopped,image3_3.started,greencircle1_19.started,greencircle2_19.started,greencircle3_19.started,greencircle4_19.started,greencircle5_19.started,greencircle6_19.started,greencircle7_19.started,greentriangle_19.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.981570400006603,9.998107900028117,9.998107900028117,9.998107900028117,9.998107900028117,9.998107900028117,9.998107900028117,9.998107900028117,9.998107900028117,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.98178040003404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98180670000147,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,10.998027800000273,11.982093000027817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.982125299982727,12.013262799999211,12.013262799999211,12.013262799999211,12.013262799999211,12.013262799999211,12.013262799999211,12.013262799999211,12.013262799999211,12.998724000004586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.998755300010089,13.014953300007619,13.014953300007619,13.014953300007619,13.014953300007619,13.014953300007619,13.014953300007619,13.014953300007619,13.014953300007619,13.98219720000634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98222830001032,13.982870500010904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98290800000541,13.983396900002845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98342559998855,13.983889500028454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.983918400015682,13.997600000002421,13.997600000002421,13.997600000002421,13.997600000002421,13.997600000002421,13.997600000002421,13.997600000002421,13.997600000002421,14.981949999986682,,,,,,,,,,,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.981987400038633,14.997794300026726,14.997794300026726,14.997794300026726,14.997794300026726,14.997794300026726,14.997794300026726,14.997794300026726,14.997794300026726,15.965759099985007,,,,,,,,,,456543,001,2024-05-01_11h40.31.873,searchArrayTrial,2024.1.1,None,2024-05-01 11h40.37.076871 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96581680001691,15.981573400029447,15.981573400029447,15.981573400029447,15.981573400029447,15.981573400029447,15.981573400029447,15.981573400029447,15.981573400029447,,,,,,,,
