triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.008189957996364683,0.032224624999798834,1.9971981249982491,3.506264541996643,space,1.5036899999831803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0, 0.25)",p,0.0,0,0,0,16,3.5511525829788297,,,,,,,,,3.5244693749700673,4.814795291982591,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,1,1,8,4.82125191699015,,,,,,,,,4.814942791999783,6.082665707974229,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.25, 0)",g,0.0,0,2,2,2,6.089365832973272,,,,,,,,,6.082821874995716,7.351252291991841,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.1875, -0.1875)",p,0.0,0,3,3,19,7.358002832974307,,,,,,,,,7.351413625001442,11.61999829200795,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0, -0.25)",g,0.0,0,4,4,4,11.629165291960817,,,,,,,,,11.620164999971166,12.891077000007499,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.25, 0)",p,0.0,0,5,5,18,12.897477582970168,,,,,,,,,12.89123633300187,14.158575749956071,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,6,6,12,14.164959582965821,,,,,,,,,14.158726374967955,15.426184791955166,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(-0.25, 0)",g,0.0,0,7,7,6,15.432987957959995,,,,,,,,,15.426355832954869,16.694766999979038,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,8,8,10,16.701313374971505,,,,,,,,,16.694918582972605,18.962800874956883,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,9,9,9,18.97157154197339,,,,,,,,,18.96295158297289,20.23350416700123,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(-0.1875, 0.1875)",g,0.0,0,10,10,7,20.24000958300894,,,,,,,,,20.23366599995643,22.501359791960567,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,11,11,13,22.51053258299362,,,,,,,,,22.50151570799062,23.772483541979454,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,12,12,11,23.7793116249959,,,,,,,,,23.772641624964308,25.04080554196844,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(-0.1875, 0.1875)",p,0.0,0,13,13,23,25.047575792006683,,,,,,,,,25.04096066695638,26.3093021249515,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.1875, 0.1875)",p,0.0,0,14,14,17,26.315769791952334,,,,,,,,,26.30945212498773,27.577069541963283,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(-0.1875, -0.1875)",p,0.0,0,15,15,21,27.58340224996209,,,,,,,,,27.577212332980707,28.844669207988773,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0, 0.25)",g,0.0,0,16,16,0,28.851080833002925,,,,,,,,,28.844819374964572,31.11280129197985,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0, -0.25)",p,0.0,0,17,17,20,31.12177129200427,,,,,,,,,31.112958166981116,32.38335766695673,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(0.1875, -0.1875)",g,0.0,0,18,18,3,32.389744249987416,,,,,,,,,32.38350770797115,33.65092570800334,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
"(-0.1875, -0.1875)",g,0.0,0,19,19,5,33.65749287500512,,,,,,,,,33.65107566700317,34.91912375000538,,,,,,,,,,,,,,,,,,,,,,,,,,101338,001,2024-05-05_23h51.29.513,creatingimagesNEW,2024.1.4,None,2024-05-05 23h51.36.902272 -0400,
