triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0015923000173643231,0.003941899980418384,0.003941899980418384,2.2997969000134617,space,2.2937615000410005,None,,,,,,,,,,,,,,,,,,,,,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,0,0,8,2.3138403999619186,,,,,,,,,2.305698200012557,2.3138403999619186,0.008388199959881604,3.3147257000673562,3.3147257000673562,3.3147257000673562,3.3147257000673562,3.3147257000673562,3.3147257000673562,3.3147257000673562,3.3147257000673562,3.3147257000673562,5.832392000011168,-0.000925925925925926,0.23981481481481481,1,0,0,[1],triangle1,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(0.1875, -0.1875)",p,0.0,0,1,1,19,5.847803300013766,,,,,,,,,5.833268700051121,5.847803300013766,0.002602500026114285,6.847945500048809,6.847945500048809,6.847945500048809,6.847945500048809,6.847945500048809,6.847945500048809,6.847945500048809,6.847945500048809,6.847945500048809,10.198967300006188,0.21851851851851853,-0.2037037037037037,1,0,0,[1],triangle1,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(0.25, 0)",g,0.0,0,2,2,2,10.214605499990284,,,,,,,,,10.199647900066338,10.214605499990284,0.003778300015255809,11.215100200031884,11.215100200031884,11.215100200031884,11.215100200031884,11.215100200031884,11.215100200031884,11.215100200031884,11.215100200031884,11.215100200031884,14.699450499960221,0.27685185185185185,-0.01574074074074074,1,0,0,[1],triangle1,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(0, -0.25)",g,0.0,0,3,3,4,14.714742499985732,,,,,,,,,14.700241800048389,14.714742499985732,0.0027021000860258937,15.71518419997301,15.71518419997301,15.71518419997301,15.71518419997301,15.71518419997301,15.71518419997301,15.71518419997301,15.71518419997301,15.71518419997301,16.899522399995476,-0.021296296296296296,-0.28425925925925927,1,0,0,[1],triangle1,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(0, 0.25)",p,0.0,0,4,4,16,16.91481390001718,,,,,,,,,16.90020919998642,16.91481390001718,0.0028253999771550298,17.91533980006352,17.91533980006352,17.91533980006352,17.91533980006352,17.91533980006352,17.91533980006352,17.91533980006352,17.91533980006352,17.91533980006352,27.299935100018047,-0.008333333333333333,0.26851851851851855,1,0,0,[1],triangle1,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,5,5,10,27.31557510001585,,,,,,,,,27.300592600018717,27.31557510001585,0.0025674999924376607,28.315743300016038,28.315743300016038,28.315743300016038,28.315743300016038,28.315743300016038,28.315743300016038,28.315743300016038,28.315743300016038,28.315743300016038,30.649975100066513,0.16296296296296298,0.1824074074074074,1,0,0,[0],circle2,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(-0.25, 0)",g,0.0,0,6,6,6,30.665530400001444,,,,,,,,,30.65071950003039,30.665530400001444,0.0025745000457391143,31.666012200061232,31.666012200061232,31.666012200061232,31.666012200061232,31.666012200061232,31.666012200061232,31.666012200061232,31.666012200061232,31.666012200061232,33.266629299963824,0.15925925925925927,0.1824074074074074,1,0,0,[0],circle2,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(-0.1875, 0.1875)",g,0.0,0,7,7,7,33.282363899983466,,,,,,,,,33.26734050002415,33.282363899983466,0.002584100002422929,34.2825258000521,34.2825258000521,34.2825258000521,34.2825258000521,34.2825258000521,34.2825258000521,34.2825258000521,34.2825258000521,34.2825258000521,35.317268099985085,0.16944444444444445,0.1675925925925926,1,0,0,[0],circle2,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
"(0.1875, 0.1875)",p,0.0,0,8,8,17,35.33245280000847,,,,,,,,,35.318040600046515,35.33245280000847,0.0030445000156760216,36.33253740007058,36.33253740007058,36.33253740007058,36.33253740007058,36.33253740007058,36.33253740007058,36.33253740007058,36.33253740007058,36.33253740007058,37.267987700062804,0.16944444444444445,0.1675925925925926,1,0,0,[1],triangle1,593452,001,2024-05-04_21h38.48.454,creatingimagesNEW,2024.1.1,None,2024-05-04 21h38.54.876516 -0400,
