triangle_pos,triangle_color,pink_circle_pos,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.029606166994199157,0.04041754198260605,1.9923957089777105,1.9931939999805763,space,1.9280964170466177,None,,,,,,,,,,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
,,,,,,,,,,,,,,,,,,,,,,1.9932190839899704,2.002123875019606,2.993398917024024,3.5110653750016354,space,0.5139391670236364,None,,,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,0,0,0,6,,,,,3.574641084007453,,,,,,,,,,,,,,,,3.5387502500088885,4.638984417018946,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,0,1,1,7,,,,,4.645383750030305,,,,,,,,,,,,,,,,4.639144750020932,5.606366708991118,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,0,2,2,8,,,,,5.613232999981847,,,,,,,,,,,,,,,,5.606525624985807,6.674828417017125,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(0.1875, 0.1875)",g,0.0,,,0,3,3,1,,,,,6.681300792028196,,,,,,,,,,,,,,,,6.674984459008556,7.743032291997224,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(0.25, 0)",g,0.0,,,0,4,4,2,,,,,7.749651124991942,,,,,,,,,,,,,,,,7.743208291998599,8.811235167027917,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(-0.1875, -0.1875)",p,0.0,,,0,5,5,4,,,,,8.817669500014745,,,,,,,,,,,,,,,,8.811399542028084,9.879307124996558,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(-0.25, 0)",p,0.0,,,0,6,6,5,,,,,9.885689374990761,,,,,,,,,,,,,,,,9.879463249992114,10.947209624981042,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
"(0, 0.25)",g,0.0,,,0,7,7,0,,,,,10.953765166981611,,,,,,,,,,,,,,,,10.947360083984677,11.915832124999724,,,,,,,,,,627434,001,2024-05-09_12h54.32.236,creatingimagesNEW,2024.1.4,None,2024-05-09 12h54.44.082564 -0400,
