triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.015048916975501925,0.034932083974126726,1.9904760839999653,5.696836208982859,space,3.682543417031411,None,,,,,,,,,,,,,,,,,,,,,555685,001,2024-05-05_22h53.18.331,creatingimagesNEW,2024.1.4,None,2024-05-05 22h53.26.908522 -0400,
"(0, -0.25)",g,0.0,0,0,0,4,5.741799584007822,,,,,,,,,5.712559624982532,9.006199916999321,9.00621116696857,0.005977459019050002,10.007186167000327,10.007186167000327,10.007186167000327,10.007186167000327,10.007186167000327,10.007186167000327,10.007186167000327,10.007186167000327,11.477777374966536,-0.006944444444444444,-0.22916666666666666,1,0,0,[1],unnamed Polygon,555685,001,2024-05-05_22h53.18.331,creatingimagesNEW,2024.1.4,None,2024-05-05 22h53.26.908522 -0400,
"(0.1875, -0.1875)",g,0.0,0,1,1,3,11.488396958971862,,,,,,,,,11.478721374995075,14.751891708991025,14.751901459007058,0.003667375014629215,15.758095041965134,15.758095041965134,15.758095041965134,15.758095041965134,15.758095041965134,15.758095041965134,15.758095041965134,15.758095041965134,16.592040624993388,0.18518518518518517,-0.19444444444444445,1,0,0,[1],unnamed Polygon,555685,001,2024-05-05_22h53.18.331,creatingimagesNEW,2024.1.4,None,2024-05-05 22h53.26.908522 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,2,2,9,16.599574209016282,,,,,,,,,16.592733666999266,19.86195408401545,19.86196387500968,0.0037440420128405094,20.866246209014207,20.866246209014207,20.866246209014207,20.866246209014207,20.866246209014207,20.866246209014207,20.866246209014207,20.866246209014207,22.058737792016473,0.16666666666666666,0.19328703703703703,1,0,0,[1],unnamed Polygon,555685,001,2024-05-05_22h53.18.331,creatingimagesNEW,2024.1.4,None,2024-05-05 22h53.26.908522 -0400,
"(-0.1875, -0.1875)",p,0.0,0,3,3,21,22.066951541986782,,,,,,,,,22.059376499964856,25.329559042002074,25.329573084018193,0.0038795829750597477,26.332700708997436,26.332700708997436,26.332700708997436,26.332700708997436,26.332700708997436,26.332700708997436,26.332700708997436,26.332700708997436,27.559258291963488,-0.17476851851851852,-0.1724537037037037,1,0,0,[1],unnamed Polygon,555685,001,2024-05-05_22h53.18.331,creatingimagesNEW,2024.1.4,None,2024-05-05 22h53.26.908522 -0400,
,,,,,,,27.566724542004522,,,,,,,,,27.559922166983597,30.82955420901999,30.829571124981157,0.003795708005782217,31.833701458992437,31.833701458992437,31.833701458992437,31.833701458992437,31.833701458992437,31.833701458992437,31.833701458992437,31.833701458992437,,,,,,,,,,,,,,,,
