test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,triangle_pos,triangle_color,red_circle_pos,blue_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.008724699961021543,0.02733819978311658,2.0113310997840017,2.1793880998156965,space,2.16271959990263,None,,,,,,,,,633330,001,2024-05-10_12h31.10.238,creatingimagesNEW,2024.1.1,None,2024-05-10 12h31.14.543811 -0400,
,,,,,,,,,,,,,,,,,2.1794344999361783,2.193870399845764,3.178532199934125,4.729805099777877,space,4.716945899883285,None,,633330,001,2024-05-10_12h31.10.238,creatingimagesNEW,2024.1.1,None,2024-05-10 12h31.14.543811 -0400,
,,,,,,,,4.75924179982394,,,,,,,,,,,,,,,,4.74304989981465,,,,,,,,
