triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,test_trial.stopped,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.01588929200079292,0.0484901670133695,1.997133083990775,36.5591825839947,space,34.52937462500995,None,,,,,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
,,,,,,,,,,,,,,,,36.55922699999064,36.55949650000548,,,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(0.25, 0)",p,0.0,0,0,0,18,36.64021770900581,,,,,,,,,,,36.59675791696645,37.90569654200226,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(-0.1875, 0.1875)",p,0.0,0,1,1,23,37.91209554200759,,,,,,,,,,,37.90584908396704,39.17468016699422,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(0.1875, -0.1875)",g,0.0,0,2,2,3,39.18134229199495,,,,,,,,,,,39.17483958398225,40.44333433400607,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(0.1875, 0.1875)",p,0.0,0,3,3,17,40.44981799996458,,,,,,,,,,,40.443489958997816,41.71167004201561,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,4,4,8,41.718333833967336,,,,,,,,,,,41.71182816696819,42.98008887498872,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(-0.1875, 0.1875)",g,0.0,0,5,5,7,42.986398249980994,,,,,,,,,,,42.98023737501353,44.24900533398613,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(0, -0.25)",p,0.0,0,6,6,20,44.25532141700387,,,,,,,,,,,44.24915916699683,45.518103584006894,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(-0.25, 0)",g,0.0,0,7,7,6,45.5246181669645,,,,,,,,,,,45.51825554197421,46.786792833998334,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(-0.1875, -0.1875)",g,0.0,0,8,8,5,46.79329962498741,,,,,,,,,,,46.78694362496026,48.0548712919699,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,9,9,9,48.061397375015076,,,,,,,,,,,48.055038666992914,49.32320637500379,,,,,,,,012089,001,2024-05-06_12h47.43.931,creatingimagesNEW,2024.1.4,None,2024-05-06 12h47.49.858008 -0400,
