trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,triangle_pos,triangle_color,pink_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,mouse_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.014130958006717265,0.023173749970737845,1.9898158750147559,4.391902500006836,space,2.3707204169477336,None,,,097002,001,2024-05-05_19h33.30.220,creatingimagesNEW,2024.1.4,None,2024-05-05 19h34.12.514692 -0400,
,,,,,,,4.439306124986615,,,,,,,,,4.408580208022613,2.309979082958307,,,,,,,,
