triangle_pos,triangle_color,pink_circle_pos,trials24.thisRepN,trials24.thisTrialN,trials24.thisN,trials24.thisIndex,thisRow.t,notes,trial.started,fixation.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0.1875, -0.1875)",p,0.0,0,0,0,19,0.06071429199073464,,0.04216325000743382,0.06071429199073464,0.998703958990518,0.998703958990518,0.998703958990518,0.998703958990518,0.998703958990518,0.998703958990518,0.998703958990518,0.998703958990518,1.0079181670153048,1.068180125002982,5.108051166986115,0.18,-0.18444444444444444,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(-0.1875, 0.1875)",g,0.0,0,1,1,7,5.117416499997489,,5.1091937919845805,5.117416499997489,6.115074417000869,6.115074417000869,6.115074417000869,6.115074417000869,6.115074417000869,6.115074417000869,6.115074417000869,6.115074417000869,1.0060680420137942,6.115074417000869,8.791448792006122,-0.19333333333333333,0.16333333333333333,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(-0.25, 0)",p,0.0,0,2,2,22,8.800854250002885,,8.792290416982723,8.800854250002885,9.789209459006088,9.789209459006088,9.789209459006088,9.789209459006088,9.789209459006088,9.789209459006088,9.789209459006088,9.789209459006088,1.0096195829974022,9.801733625005,11.441858874983154,-0.2388888888888889,-0.014444444444444444,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(-0.25, 0)",g,0.0,0,3,3,6,11.451222917006817,,11.442695542005822,11.451222917006817,12.445119499985594,12.445119499985594,12.445119499985594,12.445119499985594,12.445119499985594,12.445119499985594,12.445119499985594,12.445119499985594,1.0026102919946425,12.445119499985594,14.108367834007367,-0.23666666666666666,-0.014444444444444444,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(-0.1875, -0.1875)",g,0.0,0,4,4,5,14.117830083996523,,14.10920029200497,14.117830083996523,15.112685291998787,15.112685291998787,15.112685291998787,15.112685291998787,15.112685291998787,15.112685291998787,15.112685291998787,15.112685291998787,1.0036687500250991,15.112685291998787,16.125013624987332,-0.18222222222222223,-0.1988888888888889,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(0, -0.25)",p,0.0,0,5,5,20,16.13451899998472,,16.125854874990182,16.13451899998472,17.132020666991593,17.132020666991593,17.132020666991593,17.132020666991593,17.132020666991593,17.132020666991593,17.132020666991593,17.132020666991593,1.0063527910097037,17.132020666991593,17.708808416995453,0.006666666666666667,-0.26,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,6,6,9,17.7181586670049,,17.70964379198267,17.7181586670049,18.714206834003562,18.714206834003562,18.714206834003562,18.714206834003562,18.714206834003562,18.714206834003562,18.714206834003562,18.714206834003562,1.0047647090104874,18.714206834003562,19.492005792009877,0.19555555555555557,0.18777777777777777,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,7,7,13,19.501667042000918,,19.492830625007628,19.501667042000918,20.498231042001862,20.498231042001862,20.498231042001862,20.498231042001862,20.498231042001862,20.498231042001862,20.498231042001862,20.498231042001862,1.0056088750134222,20.498231042001862,21.34299854200799,-0.18,-0.18888888888888888,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(0.1875, 0.1875)",g,0.0,0,8,8,1,21.352374417008832,,21.343873375008116,21.352374417008832,22.34742079200805,22.34742079200805,22.34742079200805,22.34742079200805,22.34742079200805,22.34742079200805,22.34742079200805,22.34742079200805,1.0037457910075318,22.34742079200805,25.059517708985368,0.18666666666666668,0.17888888888888888,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,9,9,11,25.068756708991714,,25.060365209006704,25.068756708991714,26.063742625003215,26.063742625003215,26.063742625003215,26.063742625003215,26.063742625003215,26.063742625003215,26.063742625003215,26.063742625003215,1.003560874989489,26.063742625003215,27.192339000001084,0.1811111111111111,-0.19555555555555557,1,0,0,[0],triangle1,649560,001,2024-05-04_15h07.31.479,creatingimages,2024.1.4,None,2024-05-04 15h07.38.257037 -0400,
