triangle_pos,triangle_color,pink_circle_pos,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.018325000011827797,0.03519475000211969,1.995932833000552,2.7813692500349134,space,0.7801264169975184,None,,,,,,,,,,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
,,,,,,,,,,,,,,,,,,,,,,2.7814096670481376,2.7968402080005035,3.780282583029475,3.7814046250423416,space,1.663936500030104,None,,,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.25, 0)",g,0.0,,,0,0,0,2,,,,,3.8154889580328017,,,,,,,,,,,,,,,,3.7938839580165222,4.9798639170476235,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0, 0.25)",g,0.0,,,0,1,1,0,,,,,4.986514832999092,,,,,,,,,,,,,,,,4.980031833052635,6.048663249996025,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.1875, 0.1875)",g,0.0,,,0,2,2,1,,,,,6.055577083025128,,,,,,,,,,,,,,,,6.048822125012521,7.217309375002515,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.1875, -0.1875)",p,0.0,,,0,3,3,3,,,,,7.223972083011176,,,,,,,,,,,,,,,,7.217475792043842,8.38627404201543,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.1875, -0.1875)",p,0.0,,,0,4,4,4,,,,,8.392764750053175,,,,,,,,,,,,,,,,8.386444458039477,9.354172083025333,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,0,5,5,6,,,,,9.361126417003106,,,,,,,,,,,,,,,,9.354337500000838,10.42263341700891,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,0,6,6,7,,,,,10.429354874999262,,,,,,,,,,,,,,,,10.422786292037927,11.490697667002678,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.25, 0)",p,0.0,,,0,7,7,5,,,,,11.49708975001704,,,,,,,,,,,,,,,,11.490854042000137,12.358404708036687,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,0,8,8,8,,,,,12.36506612499943,,,,,,,,,,,,,,,,12.358566500013694,13.426902042003348,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,1,0,9,7,,,,,13.433191957999952,,,,,,,,,,,,,,,,13.427059708046727,14.494779875036329,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.25, 0)",g,0.0,,,1,1,10,2,,,,,14.501319292001426,,,,,,,,,,,,,,,,14.494940917007625,15.462457125016954,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.25, 0)",p,0.0,,,1,2,11,5,,,,,15.4688015000429,,,,,,,,,,,,,,,,15.462612417002674,16.430924292013515,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.1875, -0.1875)",p,0.0,,,1,3,12,3,,,,,16.437375250039622,,,,,,,,,,,,,,,,16.43110266700387,17.398427708016243,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,1,4,13,6,,,,,17.40506862499751,,,,,,,,,,,,,,,,17.39858295803424,18.366259000031278,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,1,5,14,8,,,,,18.372862457996234,,,,,,,,,,,,,,,,18.3664254580508,19.33780200005276,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0.1875, 0.1875)",g,0.0,,,1,6,15,1,,,,,19.344174333033152,,,,,,,,,,,,,,,,19.337958833028097,20.406527708051726,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(0, 0.25)",g,0.0,,,1,7,16,0,,,,,20.413329958042596,,,,,,,,,,,,,,,,20.40668708301382,21.375075917050708,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
"(-0.1875, -0.1875)",p,0.0,,,1,8,17,4,,,,,21.381769667030312,,,,,,,,,,,,,,,,21.3752350830473,22.342853375012055,,,,,,,,,,,,,,,,,264399,001,2024-05-08_13h17.46.278,creatingimagesNEW,2024.1.4,None,2024-05-08 13h18.02.803784 -0400,
