triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,mouse_2.started,fixation_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,trial.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.016190499998629093,0.025163334037642926,1.9917776670190506,4.727201417030301,space,2.728781790996436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328603,001,2024-05-05_19h42.28.666,creatingimagesNEW,2024.1.4,None,2024-05-05 19h42.34.024193 -0400,
"(0, 0.25)",g,0.0,0,0,0,0,4.780877542041708,,,,,,,,,4.7475650000269525,2.3161658750032075,9.265126709011383,[0.016203703703703703],[0.22453703703703703],[1],[0],[0],[2.2210555840283632],['unnamed Polygon'],9.26711208402412,0.012858292029704899,10.271649917005561,10.271649917005561,10.271649917005561,10.271649917005561,10.271649917005561,10.271649917005561,10.271649917005561,10.271649917005561,11.160746292036492,0.027777777777777776,0.24074074074074073,1,0,0,[1],unnamed Polygon,328603,001,2024-05-05_19h42.28.666,creatingimagesNEW,2024.1.4,None,2024-05-05 19h42.34.024193 -0400,
,,,,,,,11.169877417036332,,,,,,,,,11.161638875026256,2.269598415994551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
