triangle_pos,triangle_color,pink_circle_pos,blue_circle_pos,red_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Real_Trials.started,Real_Trials.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.029967958995257504,0.044004625000525266,1.9986929169972427,5.983942167003988,space,3.9786927919922164,None,,,,,,,,,,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
,,,,,,,,,,,,,,,,,,,,,,5.984006708997185,6.008927083996241,6.983294292003848,8.100676083995495,space,1.1084449590125587,None,,,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.1875, -0.1875)",r,0.0,0.0,,0,0,0,4,,,,,8.219848833992728,,,,,,,,,,,,,,,,8.180447209000704,9.38819495899952,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.1875, -0.1875)",r,0.0,0.0,,0,1,1,3,,,,,9.395456583995838,,,,,,,,,,,,,,,,9.388367084000492,10.357176874997094,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0, 0.25)",b,0.0,"(0, -0.25)",,0,2,2,18,,,,,10.363965625001583,,,,,,,,,,,,,,,,10.35733304200403,11.32542733399896,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.1875, -0.1875)",g,0.0,"(-0.1875, 0.1875) ",,0,3,3,13,,,,,11.332065916998545,,,,,,,,,,,,,,,,11.325583291996736,12.393393042002572,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",0.0,,0,4,4,6,,,,,12.399910416992498,,,,,,,,,,,,,,,,12.39355304199853,13.651298583994503,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0.0,,0,5,5,8,,,,,13.664384749994497,,,,,,,,,,,,,,,,13.651850084002945,14.925975833990378,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.25, 0)",b,0.0,0.0,,0,6,6,17,,,,,14.932801292001386,,,,,,,,,,,,,,,,14.92613683399395,16.094491458992707,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.25, 0)",r,0.0,0.0,,0,7,7,11,,,,,16.10128341699601,,,,,,,,,,,,,,,,16.094650583996554,17.16327266699227,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.25, 0)",b,0.0,0.0,,0,8,8,15,,,,,17.16971649999323,,,,,,,,,,,,,,,,17.163430624990724,18.131427624990465,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0, 0.25)",g,0.0,0.0,,0,9,9,0,,,,,18.137954459001776,,,,,,,,,,,,,,,,18.13158245899831,19.199727625004016,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.25, 0)",r,0.0,0.0,,0,10,10,5,,,,,19.206146166994586,,,,,,,,,,,,,,,,19.199884000001475,20.26768337500107,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.1875, 0.1875)",b,0.0,0.0,,0,11,11,16,,,,,20.274713334001717,,,,,,,,,,,,,,,,20.26785629199003,21.235584499998367,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.1875, 0.1875)",g,0.0,0.0,,0,12,12,1,,,,,21.242080374999205,,,,,,,,,,,,,,,,21.235742999997456,22.203652333992068,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.25, 0)",g,0.0,0.0,,0,13,13,2,,,,,22.21042329199554,,,,,,,,,,,,,,,,22.203809083992383,23.27207933399768,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0, 0.25)",r,0.0,0.0,,0,14,14,9,,,,,23.27848612499656,,,,,,,,,,,,,,,,23.27223750000121,24.640547000002698,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.25, 0)",b,0.0,"(0.1875, -0.1875)",,0,15,15,20,,,,,24.64896916699945,,,,,,,,,,,,,,,,24.64070212499064,25.71067708400369,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.1875, 0.1875)",r,0.0,0.0,,0,16,16,10,,,,,25.71719458399457,,,,,,,,,,,,,,,,25.71084337499633,26.579241958999773,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.1875, -0.1875)",g,0.0,"(0.25, 0)",,0,17,17,12,,,,,26.58567916699394,,,,,,,,,,,,,,,,26.579395624998142,28.04800612499821,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.1875, 0.1875)",b,0.0,"(-0.1875, -0.1875)",,0,18,18,19,,,,,28.05458991699561,,,,,,,,,,,,,,,,28.048163667001063,29.01607845899707,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0.0,,0,19,19,7,,,,,29.02284987499297,,,,,,,,,,,,,,,,29.016231292000157,30.285037666995777,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.25, 0)",g,0.0,"(0.1875, 0.1875)",,0,20,20,14,,,,,30.29165012500016,,,,,,,,,,,,,,,,30.28519441699609,31.453016500003287,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",0.0,,1,0,21,6,,,,,31.459502249999787,,,,,,,,,,,,,,,,31.453173208996304,32.62099062500056,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.25, 0)",g,0.0,"(0.1875, 0.1875)",,1,1,22,14,,,,,32.62745824999001,,,,,,,,,,,,,,,,32.62114341699635,33.88936349999858,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0.25, 0)",b,0.0,0.0,,1,2,23,15,,,,,33.89618883399817,,,,,,,,,,,,,,,,33.889541458993335,34.85728208399087,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0.0,,1,3,24,7,,,,,34.86387454200303,,,,,,,,,,,,,,,,34.85744258399063,35.925875874992926,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
"(0, 0.25)",g,0.0,0.0,,1,4,25,0,,,,,35.932387084001675,,,,,,,,,,,,,,,,35.92603404200054,36.993726000000606,,,,,,,,,,,,,,,,,915853,001,2024-05-12_00h27.20.449,creatingimagesNEW,2024.1.4,None,2024-05-12 00h27.26.955150 -0400,
