test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,triangle_pos,triangle_color,pink_circle_pos,blue_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.007986999931745231,0.025750799919478595,2.0089317999081686,2.0931121999165043,space,2.092381599941291,None,,,,,,,,,622943,001,2024-05-09_21h20.38.094,creatingimagesNEW,2024.1.1,None,2024-05-09 21h20.42.060342 -0400,
,,,,,,,,,,,,,,,,,2.0931358999805525,2.109274399932474,3.0925826999591663,3.093231900013052,space,3.0259473000187427,None,,622943,001,2024-05-09_21h20.38.094,creatingimagesNEW,2024.1.1,None,2024-05-09 21h20.42.060342 -0400,
,,,,,,,,3.1090917999390513,,,,,,,,,,,,,,,,3.0974542999174446,,,,,,,,
