triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,fixation_2.stopped,trial.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.016304665943607688,0.02453379094367847,2.0346523329499178,2.035531749948859,space,2.0749161670100875,None,,,,,,,,,,,,,,,,,,,,,003359,001,2024-05-05_19h40.29.914,creatingimagesNEW,2024.1.4,None,2024-05-05 19h40.37.263448 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,0,0,9,2.0664123749593273,,,,,,,,,2.048122832959052,4.329473415971734,4.3294836659915745,0.004260916030034423,5.336335540981963,5.336335540981963,5.336335540981963,5.336335540981963,5.336335540981963,5.336335540981963,5.336335540981963,5.336335540981963,8.562266875000205,0.20023148148148148,0.19444444444444445,1,0,0,[1],unnamed Polygon,003359,001,2024-05-05_19h40.29.914,creatingimagesNEW,2024.1.4,None,2024-05-05 19h40.37.263448 -0400,
"(0.25, 0)",g,0.0,0,1,1,2,8.571684790949803,,,,,,,,,8.563188790983986,10.833287040994037,10.833300457976293,0.0037432920071296394,11.831855457974598,11.831855457974598,11.831855457974598,11.831855457974598,11.831855457974598,11.831855457974598,11.831855457974598,11.831855457974598,13.059612957993522,0.2361111111111111,-0.016203703703703703,1,0,0,[1],unnamed Polygon,003359,001,2024-05-05_19h40.29.914,creatingimagesNEW,2024.1.4,None,2024-05-05 19h40.37.263448 -0400,
,,,,,,,13.06796516594477,,,,,,,,,13.060269249952398,15.328223415999673,15.32823391596321,0.0035400829510763288,16.336639582994394,16.336639582994394,16.336639582994394,16.336639582994394,16.336639582994394,16.336639582994394,16.336639582994394,16.336639582994394,,,,,,,,,,,,,,,,
