triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0.1875, -0.1875)",g,0.0,0,9,9,3,18.231703375000507,,,,,,,,,18.22511758300243,20.493969417002518,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,10,10,9,20.502445541962516,,,,,,,,,20.494124624994583,21.764187624969054,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.1875, 0.1875)",g,0.0,0,11,11,1,21.770743207947817,,,,,,,,,21.764337207947392,23.03239070798736,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,12,12,13,23.038793582993094,,,,,,,,,23.032540082989726,24.300529166997876,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.1875, -0.1875)",p,0.0,0,13,13,19,24.306951582955662,,,,,,,,,24.30069237499265,26.56883712497074,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,14,14,15,26.576636541984044,,,,,,,,,26.5689876669785,27.8384074170026,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.1875, 0.1875)",p,0.0,0,15,15,17,27.845108082983643,,,,,,,,,27.83859229198424,29.107532499998342,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0, -0.25)",p,0.0,0,16,16,20,29.11400112498086,,,,,,,,,29.107679957989603,31.376076957967598,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,17,17,8,31.384000332967844,,,,,,,,,31.376233499962837,32.645767666981556,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0, 0.25)",p,0.0,0,18,18,16,32.65220716694603,,,,,,,,,32.64591316698352,33.91391774994554,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.1875, 0.1875)",p,0.0,0,19,19,23,33.920314832997974,,,,,,,,,33.914064791984856,35.18178041698411,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,20,20,12,35.188269999984186,,,,,,,,,35.181928832957055,36.450146207993384,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.1875, -0.1875)",g,0.0,0,21,21,5,36.45668083295459,,,,,,,,,36.450296957977116,37.71843283297494,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.25, 0)",g,0.0,0,22,22,6,37.7247317499714,,,,,,,,,37.71857958298642,38.98689308296889,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.25, 0)",p,0.0,0,23,23,18,38.99333037500037,,,,,,,,,38.987059207982384,40.25524570798734,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
,,,,,,,,,,,,,,,,,,40.255282582947984,0.003905625024344772,41.26601362496149,41.26601362496149,41.26601362496149,41.26601362496149,41.26601362496149,41.26601362496149,41.26601362496149,41.26601362496149,42.8903087079525,0.2465277777777778,0.0,1,0,0,[1],unnamed Polygon,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.89058691699756,42.89791508298367,42.89791508298367,44.023374249984045,space,1.1221305420040153,None,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
