triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.014751041948329657,0.030146249977406114,1.9979282499989495,2.161243749957066,space,0.13442849996499717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,0,0,11,2.2369399999734014,,,,,,,,,2.2048503749538213,7.5041068329592235,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.1875, 0.1875)",g,0.0,0,1,1,7,7.5141846249462105,,,,,,,,,7.5042675829608925,8.776511457981542,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0, -0.25)",g,0.0,0,2,2,4,8.783104666974396,,,,,,,,,8.77665683295345,10.045664416975342,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.25, 0)",p,0.0,0,3,3,22,10.052095916995313,,,,,,,,,10.045813041971996,11.313952249998692,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0, 0.25)",g,0.0,0,4,4,0,11.320381166995503,,,,,,,,,11.314103499986231,12.58218033297453,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.25, 0)",g,0.0,0,5,5,2,12.588626707962248,,,,,,,,,12.582329083001241,13.85028108296683,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,6,6,10,13.856758249981795,,,,,,,,,13.850430374965072,15.118645957962144,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.1875, -0.1875)",p,0.0,0,7,7,21,15.125236874970142,,,,,,,,,15.118796374998055,16.387400332954712,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,8,8,14,16.393971416982822,,,,,,,,,16.38755704194773,18.22496041696286,,,,,,,,,,,,,,,,,,,,,,,,,,796307,001,2024-05-05_23h47.05.631,creatingimagesNEW,2024.1.4,None,2024-05-05 23h47.12.938322 -0400,
