triangle_pos,triangle_color,pink_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,test_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.016098099993541837,0.03473209997173399,2.0020699999295175,2.0038576999213547,space,1.8328928999835625,None,,,081456,001,2024-05-06_16h48.14.671,creatingimagesNEW,2024.1.1,None,2024-05-06 16h48.18.536901 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0,0,0,7,2.0175193999893963,,,,,,,,,2.0101283999392763,2.2329621999524534,081456,001,2024-05-06_16h48.14.671,creatingimagesNEW,2024.1.1,None,2024-05-06 16h48.18.536901 -0400,
,,,,,,,2.2515201999340206,,,,,,,,,2.233125500031747,,,,,,,,,
