triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.013332000002264977,0.03146369999740273,0.03146369999740273,0.8172454000450671,space,0.8097808000165969,None,,,,,,,,,,,,,,,,,,,,,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(0, -0.25)",g,0.0,0,0,0,4,0.8329686999786645,,,,,,,,,0.8233768000500277,0.8329686999786645,0.008786499965935946,1.8320080999983475,1.8320080999983475,1.8320080999983475,1.8320080999983475,1.8320080999983475,1.8320080999983475,1.8320080999983475,1.8320080999983475,1.848530999966897,2.93295200006105,0.006944444444444444,-0.2662037037037037,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(0, -0.25)",p,0.0,0,1,1,20,2.94787290005479,,,,,,,,,2.933666600030847,2.94787290005479,0.0029363000066950917,3.9482307999860495,3.9482307999860495,3.9482307999860495,3.9482307999860495,3.9482307999860495,3.9482307999860495,3.9482307999860495,3.9482307999860495,3.9482307999860495,4.632619800046086,-0.0011574074074074073,-0.22106481481481483,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(-0.1875, -0.1875)",g,0.0,0,2,2,5,4.6480908000376076,,,,,,,,,4.633091700030491,4.6480908000376076,0.0030930000357329845,5.648799700080417,5.648799700080417,5.648799700080417,5.648799700080417,5.648799700080417,5.648799700080417,5.648799700080417,5.648799700080417,5.648799700080417,6.282499199965969,-0.19212962962962962,-0.21180555555555555,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,3,3,10,6.298166000051424,,,,,,,,,6.283026700024493,6.298166000051424,0.0026508000446483493,7.298654200043529,7.298654200043529,7.298654200043529,7.298654200043529,7.298654200043529,7.298654200043529,7.298654200043529,7.298654200043529,7.298654200043529,9.332316300016828,0.26967592592592593,-0.020833333333333332,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,4,4,9,9.348175800056197,,,,,,,,,9.332809300045483,9.348175800056197,0.0026846000691875815,10.34860230004415,10.34860230004415,10.34860230004415,10.34860230004415,10.34860230004415,10.34860230004415,10.34860230004415,10.34860230004415,10.34860230004415,11.066035000025295,0.18055555555555555,0.2048611111111111,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(0.1875, 0.1875)",p,0.0,0,5,5,17,11.08206839999184,,,,,,,,,11.06654570007231,11.08206839999184,0.0027308000717312098,12.081972400075756,12.081972400075756,12.081972400075756,12.081972400075756,12.081972400075756,12.081972400075756,12.081972400075756,12.081972400075756,12.081972400075756,12.73334929998964,0.16319444444444445,0.1423611111111111,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(-0.1875, 0.1875)",p,0.0,0,6,6,23,12.748526900075376,,,,,,,,,12.733841800014488,12.748526900075376,0.0027155999559909105,13.748640900012106,13.748640900012106,13.748640900012106,13.748640900012106,13.748640900012106,13.748640900012106,13.748640900012106,13.748640900012106,13.748640900012106,14.349393800017424,-0.1909722222222222,0.1388888888888889,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,7,7,11,14.365601200028323,,,,,,,,,14.349891400081106,14.365601200028323,0.0029575000517070293,15.365766700007953,15.365766700007953,15.365766700007953,15.365766700007953,15.365766700007953,15.365766700007953,15.365766700007953,15.365766700007953,15.365766700007953,16.082853500032797,0.19212962962962962,-0.20833333333333334,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,8,8,14,16.09850349999033,,,,,,,,,16.083408300066367,16.09850349999033,0.0034851999953389168,17.09878330002539,17.09878330002539,17.09878330002539,17.09878330002539,17.09878330002539,17.09878330002539,17.09878330002539,17.09878330002539,17.09878330002539,18.199636599980295,-0.24421296296296297,-0.005787037037037037,1,0,0,[1],triangle1,833919,001,2024-05-04_22h01.10.267,creatingimagesNEW,2024.1.1,None,2024-05-04 22h01.13.937645 -0400,
