triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02146329201059416,0.03304462501546368,1.9961533340392634,2.57341712503694,space,0.5412826249958016,None,,,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0.25, 0)",g,0.0,0,0,0,2,2.654460000048857,,,,,,,,,2.6154961670399643,3.92131333402358,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0.1875, -0.1875)",g,0.0,0,1,1,3,3.9282755840104073,,,,,,,,,3.921472750022076,5.190246709040366,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,2,2,11,5.196842875040602,,,,,,,,,5.190400125051383,6.458567167050205,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0, -0.25)",g,0.0,0,3,3,4,6.465402875037398,,,,,,,,,6.45871579204686,7.727758500026539,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(-0.1875, -0.1875)",p,0.0,0,4,4,21,7.734401292051189,,,,,,,,,7.727912458998617,8.996101500000805,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(-0.1875, -0.1875)",g,0.0,0,5,5,5,9.002973834052682,,,,,,,,,8.996255750011187,10.264953500009142,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0, -0.25)",p,0.0,0,6,6,20,10.271413417009171,,,,,,,,,10.265105917002074,11.533323375042528,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0, 0.25)",g,0.0,0,7,7,0,11.53971966705285,,,,,,,,,11.53347395901801,12.801400000054855,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0, 0.25)",p,0.0,0,8,8,16,12.80801383400103,,,,,,,,,12.80154404201312,14.06956216704566,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(0.25, 0)",p,0.0,0,9,9,18,14.076102667022496,,,,,,,,,14.069704459048808,15.337613584008068,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(-0.1875, 0.1875)",g,0.0,0,10,10,7,15.344073292042594,,,,,,,,,15.33775412500836,16.60576879204018,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,11,11,13,16.612455417052843,,,,,,,,,16.605960459040944,17.87446441705106,,,,,,,,317821,001,2024-05-06_00h10.10.436,creatingimagesNEW,2024.1.4,None,2024-05-06 00h10.17.092099 -0400,
