triangle_pos,triangle_color,pink_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,test_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.014505099970847368,0.032969399937428534,2.000211799982935,2.1179916999535635,space,2.1046880999347195,None,,,676465,001,2024-05-06_16h58.48.950,creatingimagesNEW,2024.1.1,None,2024-05-06 16h58.53.886132 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0,0,0,8,2.1325366999953985,,,,,,,,,2.123875099932775,9.372341899899766,676465,001,2024-05-06_16h58.48.950,creatingimagesNEW,2024.1.1,None,2024-05-06 16h58.53.886132 -0400,
,,,,,,,9.381789000006393,,,,,,,,,9.372772499918938,,,,,,,,,
