triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,fixation_2.stopped,trial.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03347070899326354,0.0491980419610627,1.9968544589937665,3.8016940419911407,space,1.787111042009201,None,,,,,,,,,,,,,,,,,,,,,551076,001,2024-05-05_19h09.49.939,creatingimagesNEW,2024.1.4,None,2024-05-05 19h09.55.889585 -0400,
"(0, -0.25)",g,0.0,0,0,0,4,3.871296666970011,,,,,,,,,3.834362624969799,3.8474133749841712,3.8474254999891855,0.004915708035696298,4.840417958970647,4.840417958970647,4.840417958970647,4.840417958970647,4.840417958970647,4.840417958970647,4.840417958970647,4.840417958970647,9.773164333950263,0.024305555555555556,-0.29050925925925924,1,0,0,[1],triangle1,551076,001,2024-05-05_19h09.49.939,creatingimagesNEW,2024.1.4,None,2024-05-05 19h09.55.889585 -0400,
,,,,,,,9.785677708976436,,,,,,,,,9.773970208945684,9.776514499972109,9.776522291998845,0.0037290420150384307,10.77238854195457,10.77238854195457,10.77238854195457,10.77238854195457,10.77238854195457,10.77238854195457,10.77238854195457,10.77238854195457,,,,,,,,,,,,,,,,
