triangle_pos,triangle_color,pink_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,test_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.015608700108714402,0.033326600096188486,1.9997346000745893,2.00040420005098,space,1.9313270000275224,None,,,551541,001,2024-05-06_14h03.11.181,creatingimagesNEW,2024.1.1,None,2024-05-06 14h03.14.974011 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0,0,0,8,2.01640960003715,,,,,,,,,2.003735600039363,2.217174200108275,551541,001,2024-05-06_14h03.11.181,creatingimagesNEW,2024.1.1,None,2024-05-06 14h03.14.974011 -0400,
,,,,,,,2.232179000042379,,,,,,,,,2.2174639001023024,,,,,,,,,
