triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation_2.started,fixation_2.stopped,trial.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.009620749973692,0.017522082955110818,1.997584333003033,2.0975662079872563,space,0.0681435419828631,None,,,,,,,,,,,,,,,,,,,,,740898,001,2024-05-05_20h50.28.147,creatingimagesNEW,2024.1.4,None,2024-05-05 20h50.34.324908 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,0,0,9,2.148055374971591,,,,,,,,,2.115664124954492,4.411558665975463,4.411570583004504,0.004435000009834766,5.4112926659872755,5.4112926659872755,5.4112926659872755,5.4112926659872755,5.4112926659872755,5.4112926659872755,5.4112926659872755,5.4112926659872755,9.549433749984019,0.19560185185185186,0.2013888888888889,1,0,0,[1],unnamed Polygon,740898,001,2024-05-05_20h50.28.147,creatingimagesNEW,2024.1.4,None,2024-05-05 20h50.34.324908 -0400,
"(0.1875, -0.1875)",g,0.0,0,1,1,3,9.557116124953609,,,,,,,,,9.55037024995545,11.818793165963143,11.818803041009232,0.0037578330375254154,12.818851957970764,12.818851957970764,12.818851957970764,12.818851957970764,12.818851957970764,12.818851957970764,12.818851957970764,12.818851957970764,13.715789374953602,0.20833333333333334,-0.19791666666666666,1,0,0,[1],unnamed Polygon,740898,001,2024-05-05_20h50.28.147,creatingimagesNEW,2024.1.4,None,2024-05-05 20h50.34.324908 -0400,
"(0.25, 0)",p,0.0,0,2,2,18,13.723348708008416,,,,,,,,,13.716470290964935,15.985036582977045,15.985049540991895,0.00381058402126655,16.98823616595473,16.98823616595473,16.98823616595473,16.98823616595473,16.98823616595473,16.98823616595473,16.98823616595473,16.98823616595473,17.632468374969903,0.2743055555555556,0.0023148148148148147,1,0,0,[1],unnamed Polygon,740898,001,2024-05-05_20h50.28.147,creatingimagesNEW,2024.1.4,None,2024-05-05 20h50.34.324908 -0400,
"(0, -0.25)",p,0.0,0,3,3,20,17.6399340829812,,,,,,,,,17.633114791009575,19.901530875009485,19.90154833300039,0.0038050839793868363,20.90501549997134,20.90501549997134,20.90501549997134,20.90501549997134,20.90501549997134,20.90501549997134,20.90501549997134,20.90501549997134,21.566047665954102,-0.006944444444444444,-0.2569444444444444,1,0,0,[1],unnamed Polygon,740898,001,2024-05-05_20h50.28.147,creatingimagesNEW,2024.1.4,None,2024-05-05 20h50.34.324908 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,4,4,11,21.573539083008654,,,,,,,,,21.566727290977724,23.835257624974474,23.835267874994315,0.00374120898777619,24.837441082985606,24.837441082985606,24.837441082985606,24.837441082985606,24.837441082985606,24.837441082985606,24.837441082985606,24.837441082985606,25.816229332995135,0.20949074074074073,-0.19444444444444445,1,0,0,[1],unnamed Polygon,740898,001,2024-05-05_20h50.28.147,creatingimagesNEW,2024.1.4,None,2024-05-05 20h50.34.324908 -0400,
,,,,,,,25.824114415969234,,,,,,,,,25.816884749976452,,,,,,,,,,,,,,,,,,,,,,,,,,,
