test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,triangle_pos,triangle_color,pink_circle_pos,blue_circle_pos,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.00952830002643168,0.02703640004619956,2.010342099936679,2.0279985999222845,space,2.0163296998944134,None,,,,,,,,,802300,001,2024-05-10_12h18.57.477,creatingimagesNEW,2024.1.1,None,2024-05-10 12h19.01.521938 -0400,
,,,,,,,,,,,,,,,,,2.0280251000076532,2.043745799921453,3.0270594998728484,3.2443748000077903,space,3.2293819000478834,None,,802300,001,2024-05-10_12h18.57.477,creatingimagesNEW,2024.1.1,None,2024-05-10 12h19.01.521938 -0400,
,,,,,,,,3.260552699910477,,,,,,,,,,,,,,,,3.2487284999806434,,,,,,,,
